crumbs	demo site navbar	demo site dropdown	crumbs_id	availability	price	url	pid	title	title_de	description	description_de	brand	thumb_image	sale_price	manufacturer	catalog_number	master_upc	application	application-de	color	color-de	height	length	material	material-de	size	size-de	voltage_rating	weight	width	type	type-de
Connectors, Marking, & Termination|Wire Bundling|Cable Hooks & Hangers	Wire Bundling		PNB270000000000|PNB270100000000|PNB270102000000	in stock	9.7	https://pacificsupply.bloomreach.com/products/4563707	4563707	B-Line Cable Hook 3/4-In. 16	B-Line Kabelhaken 04.03-In. 16	Eaton B-Line BCH12 3/4 Inch Pre-Galvanized Cable Hook	Eaton B-Line BCH12 3/4 Zoll vorverzinkt Kabelhaken	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4563707	6.11	Eaton B-Line	BCH12	78205128060	COMMDATA FASTENERS,CABLE HOOKS HOOKS,Supports Category 5/5e/6/6a Fiber Optic, Innerduct and Low Voltage Cabling Requirements	COMMDATA FASTENERS, CABLE HOOKS HOOKS, Unterstützt Kategorie 5 / 5e / 6 / 6a Glasfaser, Innerduct und Niederspannungskabelanforderungen					Pre-Galvanized Steel	Pre-verzinktem Stahl				0.07		Cable Hook, Open/Closed	Kabelhaken, offen / geschlossen
Connectors, Marking, & Termination|Wire Bundling|Cable Hooks & Hangers	Wire Bundling		PNB270000000000|PNB270100000000|PNB270102000000	in stock	7.14	https://pacificsupply.bloomreach.com/products/4429912	4429912	B-Line 4-IN. Cable Hook	B-Line 4-IN. Kabelhaken	Eaton B-Line BCH64 4 Inch Pre-Galvanized Cable Hook	Eaton B-Line BCH64 4 Zoll vorverzinkt Kabelhaken	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4429912	4.5	Eaton B-Line	BCH64	78101104721	COMMDATA FASTENERS,CABLE HOOKS HOOKS,Supports Category 5/5e/6/6a Fiber Optic, Innerduct and Low Voltage Cabling Requirements	COMMDATA FASTENERS, CABLE HOOKS HOOKS, Unterstützt Kategorie 5 / 5e / 6 / 6a Glasfaser, Innerduct und Niederspannungskabelanforderungen					Pre-Galvanized Steel	Pre-verzinktem Stahl				0.56		Cable Hook	Kabelhaken
Connectors, Marking, & Termination|Wire Bundling|Cable Hooks & Hangers	Wire Bundling		PNB270000000000|PNB270100000000|PNB270102000000	in stock	5.59	https://pacificsupply.bloomreach.com/products/4518601	4518601	B-Line Cable Hook 2-In. 70	B-Line Kabelhaken 2-In. 70	Eaton B-Line BCH32 2 Inch Pre-Galvanized Cable Hook	Eaton B-Line BCH32 2 Zoll vorverzinkt Kabelhaken	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4518601	3.52	Eaton B-Line	BCH32	78101104717	COMMDATA FASTENERS,CABLE HOOKS HOOKS,Supports Category 5/5e/6/6a Fiber Optic, Innerduct and Low Voltage Cabling Requirements	COMMDATA FASTENERS, CABLE HOOKS HOOKS, Unterstützt Kategorie 5 / 5e / 6 / 6a Glasfaser, Innerduct und Niederspannungskabelanforderungen					Pre-Galvanized Steel	Pre-verzinktem Stahl				0.2		Cable Hook	Kabelhaken
Connectors, Marking, & Termination|Wire Bundling|Cable Hooks & Hangers	Wire Bundling		PNB270000000000|PNB270100000000|PNB270102000000	in stock	5.02	https://pacificsupply.bloomreach.com/products/3406164	3406164	B-Line 1-5/16 Cable Hook	B-Line 1-5 / 16 Kabelhaken	Eaton B-Line BCH21 1-5/16 Inch Pre-Galvanized Cable Hook	Eaton B-Line BCH21 1-5 / 16 Zoll vorverzinkt Kabelhaken	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3406164	3.16	Eaton B-Line	BCH21	78101104713	COMMDATA FASTENERS,CABLE HOOKS HOOKS,Supports Category 5/5e/6/6a Fiber Optic, Innerduct and Low Voltage Cabling Requirements	COMMDATA FASTENERS, CABLE HOOKS HOOKS, Unterstützt Kategorie 5 / 5e / 6 / 6a Glasfaser, Innerduct und Niederspannungskabelanforderungen					Pre-Galvanized Steel	Pre-verzinktem Stahl				0.15		Cable Hook	Kabelhaken
Connectors, Marking, & Termination|Wire Bundling|Cable Hooks & Hangers	Wire Bundling		PNB270000000000|PNB270100000000|PNB270102000000	in stock	11.65	https://pacificsupply.bloomreach.com/products/4901695	4901695	B-Line 2 Cable Hook With	B-Line 2 Kabel-Haken mit	Eaton B-Line BCH32-C1 2 Inch Cable Hook with Angle Bracket	Eaton B-Line BCH32-C1 2-Zoll-Kabel-Haken mit Winkel	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4901695	7.34	Eaton B-Line	BCH32-C1	78101195560	COMMDATA FASTENERS,CABLE HOOKS HOOKS,	COMMDATA FASTENERS, CABLE HOOKS HOOKS,					Pre-Galvanized Steel	Pre-verzinktem Stahl				0.254		Cable To Beam Fastener	Kabel mit dem Strahl Fastener
Connectors, Marking, & Termination|Wire Bundling|Cable Hooks & Hangers	Wire Bundling		PNB270000000000|PNB270100000000|PNB270102000000	in stock	6.26	https://pacificsupply.bloomreach.com/products/4448018	4448018	B-Line 4-IN. Cable Hook	B-Line 4-IN. Kabelhaken	Eaton B-Line BCH64-RB 4 Inch Hook 0.265 Inch Hole Pre-Galvanized Angle Bracket Cable Fastener	Eaton B-Line BCH64-RB 4 Zoll Haken 0,265 Inch Loch vorverzinkt Winkel Halterung Kabelbefestigung	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4448018	3.95	Eaton B-Line	BCH64-RB	78101104742	COMMDATA FASTENERS,CABLE HOOKS HOOKS,For Direct Attachment To Structures	COMMDATA FASTENERS, Kabel-Haken Haken, zum direkten Anbau an Strukturen					Pre-Galvanized Steel	Pre-verzinktem Stahl				0.88		Angle Bracket Cable Fastener	Der Winkel Kabelbefestigung
Connectors, Marking, & Termination|Wire Bundling|Cable Hooks & Hangers	Wire Bundling		PNB270000000000|PNB270100000000|PNB270102000000	in stock	13.85	https://pacificsupply.bloomreach.com/products/4090030	4090030	B-Line 3/4-IN. Cable Hook	B-Line 3/4-IN. Kabelhaken	Eaton B-Line BCH12-W2 3/4 Inch Pre-Galvanized Cable to Wire and Rod Fastener	Eaton B-Line BCH12-W2 3/4 Zoll vorverzinkt Kabel an Draht und Rod Fastener	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4090030	8.72	Eaton B-Line	BCH12-W2	78205128081	COMMDATA FASTENERS,CABLE HOOKS HOOKS,	COMMDATA FASTENERS, CABLE HOOKS HOOKS,					Pre-Galvanized Steel	Pre-verzinktem Stahl				0.1		Cable To Wire and Rod Fastener	Kabel To Wire und Rod Fastener
Connectors, Marking, & Termination|Wire Bundling|Cable Hooks & Hangers	Wire Bundling		PNB270000000000|PNB270100000000|PNB270102000000	in stock	5.14	https://pacificsupply.bloomreach.com/products/4448016	4448016	B-Line 2-IN. Cable Hook TO	B-Line 2-IN. Kabelhaken	Eaton B-Line BCH32-W2 2 Inch Pre-Galvanized Cable to Wire and Rod Fastener	Eaton B-Line BCH32-W2 2 Zoll vorverzinkt Kabel an Draht und Rod Fastener	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4448016	3.24	Eaton B-Line	BCH32-W2	78101104841	COMMDATA FASTENERS,CABLE HOOKS HOOKS,	COMMDATA FASTENERS, CABLE HOOKS HOOKS,					Pre-Galvanized Steel	Pre-verzinktem Stahl				0.23		Cable To Wire and Rod Fastener	Kabel To Wire und Rod Fastener
Connectors, Marking, & Termination|Wire Bundling|Cable Hooks & Hangers	Wire Bundling		PNB270000000000|PNB270100000000|PNB270102000000	in stock	12.97	https://pacificsupply.bloomreach.com/products/4725084	4725084	Caddy CAT32HPAFAB4 2 IN J-Hook TO	Caddy CAT32HPAFAB4 2 IN J-Haken	Erico CAT32HPAFAB4 2 Inch Pre-Galvanized Steel Cable Support J Hook	Erico CAT32HPAFAB4 2 Zoll-Pre-verzinktem Stahl-Kabel Unterstützung J-Haken	nVent CADDY	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4725084.jpg	8.17	nVent	CAT32HPAFAB4	78285679349	Datacom and Low Voltage; Electrical Fixing and Fastening	Datacom und Niederspannung; Elektrische Befestigung und Fastening					Steel	Stahl				8.664		CADDY CAT HP J-Hook with Pin Driven Angle Bracket	CADDY CAT HP J-Haken mit Pin Driven Der Winkel
Connectors, Marking, & Termination|Wire Bundling|Cable Hooks & Hangers	Wire Bundling		PNB270000000000|PNB270100000000|PNB270102000000	in stock	12.77	https://pacificsupply.bloomreach.com/products/4781842	4781842	Caddy CAT32HPBC 2 (50MM) J-Hook	Caddy CAT32HPBC 2 (50 mM) J-Haken	Erico CAT32HPBC 2 Inch Pre-Galvanized Steel Cable Support J Hook	Erico CAT32HPBC 2 Zoll-Pre-verzinktem Stahl-Kabel Unterstützung J-Haken	nVent CADDY	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4781842.jpg	8.04	nVent	CAT32HPBC	78285671671	Datacom and Low Voltage; Electrical Fixing and Fastening	Datacom und Niederspannung; Elektrische Befestigung und Fastening					Steel/ Spring Steel	Stahl / Federstahl				7.6		CADDY CAT HP J-Hook with BC Beam Clamp	CADDY CAT HP J-Haken mit BC Trägerklammer
Connectors, Marking, & Termination|Wire Bundling|Cable Hooks & Hangers	Wire Bundling		PNB270000000000|PNB270100000000|PNB270102000000	in stock	12.12	https://pacificsupply.bloomreach.com/products/4909180	4909180	Caddy CAT16HPRD 1 J-Hook For High	Caddy CAT16HPRD 1 J-Haken für High	Erico CAT16HPRD 1 Inch Red Pre-Galvanized High Performance Cable Support J-Hook	Erico CAT16HPRD 1 Inch Red vorverzinkt Hochleistungs-Kabelhalter J-Haken	nVent CADDY	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4909180.jpg	7.64	nVent	CAT16HPRD	78285670621	Datacom and Low Voltage; Electrical Fixing and Fastening	Datacom und Niederspannung; Elektrische Befestigung und Fastening					Steel	Stahl				3.86		CADDY CAT HP J-Hook	CADDY CAT HP J-Haken
Connectors, Marking, & Termination|Wire Bundling|Cable Hooks & Hangers	Wire Bundling		PNB270000000000|PNB270100000000|PNB270102000000	in stock	10.33	https://pacificsupply.bloomreach.com/products/4753880	4753880	Caddy CAT32HP24SM 2IN J-Hook, 1/8	Caddy CAT32HP24SM 2IN J-Haken, 1/8	Erico CAT32HP24SM 2 Inch Pre-Galvanized Steel Cable Support J Hook	Erico CAT32HP24SM 2 Zoll-Pre-verzinktem Stahl-Kabel Unterstützung J-Haken	nVent CADDY	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4753880.jpg	6.51	nVent	CAT32HP24SM	78285680124	Datacom and Low Voltage; Electrical Fixing and Fastening	Datacom und Niederspannung; Elektrische Befestigung und Fastening					Steel/ Spring Steel	Stahl / Federstahl				7.08		CADDY CAT HP J-Hook with Hammer-On Flange Clip	CADDY CAT HP J-Haken mit Hammer-On Flange Clip
Connectors, Marking, & Termination|Wire Bundling|Cable Hooks & Hangers	Wire Bundling		PNB270000000000|PNB270100000000|PNB270102000000	in stock	9.66	https://pacificsupply.bloomreach.com/products/4766044	4766044	Caddy CAT32HPAFAB3 2 IN J-Hook TO	Caddy CAT32HPAFAB3 2 IN J-Haken	Erico CAT32HPAFAB3 2 Inch Pre-Galvanized Steel Cable Support J Hook	Erico CAT32HPAFAB3 2 Zoll-Pre-verzinktem Stahl-Kabel Unterstützung J-Haken	nVent CADDY	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4766044.jpg	6.09	nVent	CAT32HPAFAB3	78285679348	Datacom and Low Voltage; Electrical Fixing and Fastening	Datacom und Niederspannung; Elektrische Befestigung und Fastening					Steel	Stahl				8.505		CADDY CAT HP J-Hook with Pin Driven Angle Bracket	CADDY CAT HP J-Haken mit Pin Driven Der Winkel
Connectors, Marking, & Termination|Wire Bundling|Cable Hooks & Hangers	Wire Bundling		PNB270000000000|PNB270100000000|PNB270102000000	in stock	6.09	https://pacificsupply.bloomreach.com/products/4062941	4062941	Panduit JP2W-L20 J-PRO J-Hook/Wall	Panduit JP2W-L20 J-PRO J-Haken / Wand	Panduit JP2W-L20 J-Pro Cable Support System Wall Mount	Panduit JP2W-L20 J-Pro Kabeltragsystem für Wandmontage	Panduit	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4062941.jpg	3.83	Panduit	JP2W-L20	7498357112	Route high performance communication cabling in air handling spaces	Route Hochleistungs-Kommunikationsverkabelung in Lüftungsräumen	Black	Schwarz			Nylon 6.6	Nylon 6.6				6.5		J-Pro Cable Support	J-Pro Kabelhalter
Connectors, Marking, & Termination|Wire Bundling|Cable Hooks & Hangers	Wire Bundling		PNB270000000000|PNB270100000000|PNB270102000000	in stock	5.32	https://pacificsupply.bloomreach.com/products/4695745	4695745	Caddy 4 in. Diameter 1/4 Hole	Caddy 4 in. Durchmesser 1/4 Loch	Erico CAT64HPAB 4 Inch Pre-Galvanized Steel Cable Support J-Hook	Erico CAT64HPAB 4 Zoll Pre-verzinktem Stahl-Kabel Unterstützung J-Haken	nVent CADDY	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4695745.jpg	3.35	nVent	CAT64HPAB	78285679374	Datacom and Low Voltage; Electrical Fixing and Fastening	Datacom und Niederspannung; Elektrische Befestigung und Fastening					Steel	Stahl				6.645		CADDY CAT HP J-Hook with Angle Bracket	CADDY CAT HP J-Haken mit Winkel
Connectors, Marking, & Termination|Wire Bundling|Cable Hooks & Hangers	Wire Bundling		PNB270000000000|PNB270100000000|PNB270102000000	in stock	11.9	https://pacificsupply.bloomreach.com/products/221972	221972	Caddy CAT12 Communication Cable Hanger	Caddy CAT12 Kommunikationskabel Hanger	Caddy CAT12 3/4 J-Hook	Caddy CAT12 3/4 J-Haken	nVent CADDY	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_221972.jpg	7.5	nVent	CAT12	78285633178	Datacom and Low Voltage, Electrical	Datacom und Niederspannung, Elektro					Steel	Stahl	3/4 in dia	3/4 in dia		0.025		CADDY� CABLECAT J-Hook	CADDY CableCaT J-Haken
Fasteners & Hardware|Cable, Chain & Rope|Ropes|Poly Ropes	Cable & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303080000	in stock	9.98	https://pacificsupply.bloomreach.com/products/4427949	4427949	Cully 67842 5/8 x 600' Pull Rope	Cully 67842 5/8 x 600' Pull Rope	Minerallac 67842 5/8 Inch x 600 Foot 558 lb Yellow Polypropylene Rope	Minerallac 67842 5/8 Inch x 600 Fuß 558 lb Yellow Polypropylenseil	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4427949	6.29	Minerallac	67842	8593767842			Yellow	Gelb		600' FT								3-Strand Polypropylene Rope	3-schäftig Polypropylenseil
Fasteners & Hardware|Cable, Chain & Rope|Ropes|Wire Ropes	Cable & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303120000	in stock	8.86	https://pacificsupply.bloomreach.com/products/4684906	4684906	B-Line BKP20125 Kwikpak Wire Rope	B-Line BKP20125 Kwikpak Drahtseile	Eaton B-Line BKP20125 Kwikpak Wire Rope and Clamp Kit	Eaton B-Line BKP20125 Kwikpak Drahtseile und Clamp Kit	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4684906.jpg	5.58	Eaton B-Line	BKP20125	78205140761	FASTENERS,KWIK WIRE	FASTENERS, KWIK WIRE					Cold-Rolled High-Carbon Steel	Kaltgewalztes High-Carbon Stahl				31		Lighting Wire Rope and Clamp Kit	Beleuchtung Drahtseile und Clamp Kit
Fasteners & Hardware|Cable, Chain & Rope|Ropes|Poly Ropes	Cable & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303080000	in stock	8.78	https://pacificsupply.bloomreach.com/products/4427944	4427944	Cully 67814 1/4 x 600' Pull Rope	Cully 67814 1/4 x 600' Zugseil	Cully 67814 1/4 x 600ft Yellow Polypropylene Cable Pull Rope	Cully 67814 1/4 x 600ft Yellow Polypropylen Kabel Zugseil	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4427944.jpg	5.53	Minerallac	67814	8593767814			Yellow	Gelb		600 ft	Polypropylene	Polypropylen						3-Strand Polypropylene Rope	3-schäftig Polypropylenseil
Fasteners & Hardware|Cable, Chain & Rope|Ropes|Poly Ropes	Cable & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303080000	in stock	8.59	https://pacificsupply.bloomreach.com/products/4427947	4427947	Cully 67828 3/8 x 600' Pull Rope	Cully 67828 3/8 x 600' Zugseil	Cully 67828 3/8 x 600ft Yellow Polypropylene Cable Pull Rope	Cully 67828 3/8 x 600ft Yellow Polypropylen Kabel Zugseil	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4427947.jpg	5.41	Minerallac	67828	8593767828			Yellow	Gelb		600 ft	Polypropylene	Polypropylen						3-Strand Polypropylene Rope	3-schäftig Polypropylenseil
Fasteners & Hardware|Cable, Chain & Rope|Ropes|Poly Ropes	Cable & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303080000	in stock	8.45	https://pacificsupply.bloomreach.com/products/4427948	4427948	Cully 67830 3/8 x 1200' Pull Rope	Cully 67830 3/8 x 1200' Zugseil	Minerallac 67830 3/8 Inch x 1200 Foot 243 lb Yellow Polypropylene Rope	Minerallac 67830 3/8 Zoll x 1200 Fuß 243 lb Gelb Polypropylenseil	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4427948	5.32	Minerallac	67830	8593767830			Yellow	Gelb		1,200 ft								3-Strand Polypropylene Rope	3-schäftig Polypropylenseil
Fasteners & Hardware|Cable, Chain & Rope|Ropes|Wire Ropes	Cable & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303120000	in stock	7.4	https://pacificsupply.bloomreach.com/products/4553477	4553477	B-Line BKP10063 Kwikpak Wire Rope	B-Line BKP10063 Kwikpak Drahtseile	Eaton B-Line BKP10063 Kwikpak Wire Rope and Clamp Kit	Eaton B-Line BKP10063 Kwikpak Drahtseile und Clamp Kit	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4553477	4.66	Eaton B-Line	BKP10063	78205140749	FASTENERS,KWIK WIRE,Lighting, Ductwork, Cable Tray	FASTENERS, KWIK WIRE, Beleuchtung, Lüftungssysteme, Kabelrinne					Cold-Rolled High-Carbon Steel	Kaltgewalztes High-Carbon Stahl				9.1		Lighting Wire Rope and Clamp Kit	Beleuchtung Drahtseile und Clamp Kit
Fasteners & Hardware|Cable, Chain & Rope|Ropes|Poly Ropes	Cable & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303080000	in stock	5.65	https://pacificsupply.bloomreach.com/products/4764427	4764427	Greenlee 422 POLY PRO ROPE 1/2X600FEET	Greenlee 422 POLY PRO SEIL 1 / 2X600FEET	Greenlee 422 POLY PRO ROPE 1/2X600FEET	Greenlee 422 POLY PRO SEIL 1 / 2X600FEET	Greenlee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4764427.jpg	3.56	Greenlee	422	78331021521	General purpose Polypro rope not for cable pulling.	General purpose Polypro Seil nicht für Kabel ziehen.	Bright Yellow With Green Tracer	Hellgelb mit grünen Tracer								34.3			
Fasteners & Hardware|Cable, Chain & Rope|Ropes|Poly Ropes	Cable & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303080000	in stock	7.95	https://pacificsupply.bloomreach.com/products/4445612	4445612	B-Line BKW094 Kwikwire Wire Rope	B-Line BKW094 Kwikwire Drahtseile	Eaton B-Line BKW094 KwikWire 3/32 Inch Wire Rope	Eaton B-Line BKW094 KwikWire 3/32 Inch Drahtseil	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4445612	5.01	Eaton B-Line	BKW094	78205140727	FASTENERS,KWIK WIRE,	FASTENERS, KWIK WIRE,				500 ft						8.78		Wire Rope	Drahtseil
Fasteners & Hardware|Cable, Chain & Rope|Ropes|Poly Ropes	Cable & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303080000	in stock	7.68	https://pacificsupply.bloomreach.com/products/4688873	4688873	B-Line BKW125 Kwikwire Wire Rope	B-Line BKW125 Kwikwire Drahtseile	Eaton B-Line BKW125 KwikWire 1/8 Inch Wire Rope	Eaton B-Line BKW125 KwikWire 1/8 Inch Drahtseil	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4688873	4.84	Eaton B-Line	BKW125	78205140733	FASTENERS,KWIK WIRE,	FASTENERS, KWIK WIRE,				500 ft						16		Wire Rope	Drahtseil
Fasteners & Hardware|Cable, Chain & Rope|Ropes|Poly Ropes	Cable & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303080000	in stock	11.2	https://pacificsupply.bloomreach.com/products/4514463	4514463	Cully 67802 YELLOW POLY ROPE	Cully 67802 YELLOW POLY SEIL	Minerallac 67802 3/16 Inch x 600 Foot 72 lb Yellow Polypropylene Rope	Minerallac 67802 3/16 Inch x 600 Fuß 72 lb Yellow Polypropylenseil	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4514463	7.06	Minerallac	67802	8593767802			Yellow	Gelb		600' FT								3-Strand Polypropylene Rope	3-schäftig Polypropylenseil
Fasteners & Hardware|Cable, Chain & Rope|Ropes|Poly Ropes	Cable & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303080000	in stock	10.09	https://pacificsupply.bloomreach.com/products/4500919	4500919	Cully 67838 YELLOW POLY ROPE	Cully 67838 YELLOW POLY SEIL	Minerallac 67838 1/2 Inch x 600 Foot 378 lb Yellow Polypropylene Rope	Minerallac 67838 1/2 Inch x 600 Fuß 378 lb Yellow Polypropylenseil	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4500919	6.36	Minerallac	67838	8593767838			Yellow	Gelb		600' FT								3-Strand Polypropylene Rope	3-schäftig Polypropylenseil
Fasteners & Hardware|Cable, Chain & Rope|Ropes|Nylon Ropes	Cable & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303070000	in stock	10.44	https://pacificsupply.bloomreach.com/products/4701095	4701095	Maxis SPR966 QWIKrope 9/16 x 600'	Maxis SPR966 QWIKrope 9/16 x 600'	Southwire SPR966 Maxis&#174; QWIKrope&#174; 9/16 x 600', 12 Strand UHMWPE Pulling Rope, Avg Breaking Strength: 32,000lb (58305701)	South SPR966 Maxis & # 174; QWIKrope & # 174; 9/16 x 600' , 12 Strand UHMWPE Zugseils, Avg Bruchfestigkeit: 32,000lb (58.305.701)	Southwire Company, LLC	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4701095.jpg	6.58	Southwire	58305701	3288690758	pulling	Ziehen				600						52			
Fasteners & Hardware|Cable, Chain & Rope|Ropes|Wire Ropes	Cable & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303120000	in stock	13.68	https://pacificsupply.bloomreach.com/products/4824844	4824844	B-Line BKC100 Kwikwire Clamp	B-Line BKC100 Kwikwire Clamp	Eaton B-Line BKC100 KwikWire Clamp	Eaton B-Line BKC100 KwikWire Clamp	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4824844	8.62	Eaton B-Line	BKC100	78205154697	FASTENERS,KWIK WIRE	FASTENERS, KWIK WIRE				1.26 in						0.041		Wire Clamp	Drahtklemme
Fasteners & Hardware|Cable, Chain & Rope|Ropes|Wire Ropes	Cable & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303120000	in stock	8.36	https://pacificsupply.bloomreach.com/products/4657750	4657750	B-Line BKL-094-120K Kwikwire	B-Line BKL-094-120K Kwikwire	Eaton B-Line BKL-094-120K KwikWire Loop Style Accessory	Eaton B-Line BKL-094-120K KwikWire Loop-Style-Accessoire	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4657750.jpg	5.27	Eaton B-Line	BKL-094-120K	78205167353	FASTENERS,KWIK WIRE	FASTENERS, KWIK WIRE										0.193			
Fasteners & Hardware|Cable, Chain & Rope|Ropes|Twines	Cable & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303110000	in stock	9.85	https://pacificsupply.bloomreach.com/products/4500909	4500909	Cully 67699 6500' Two-Ply	Cully 67699 6500' Zwei-Ply	Cully 67699 6500' Two-Ply Polypropylene Blow Twine, 200#	Cully 67699 6500' Zwei-Ply Polypropylen Schlag Twine, 200 #	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4500909.jpg	6.2	Minerallac	67699	8593767699														Blow Twine	Schlag Twine
Fasteners & Hardware|Cable, Chain & Rope|Chains|Jack Chains	Cable & Chain		PNB160000000000|PNB160300000000|PNB160301000000|PNB160301030000	in stock	13.31	https://pacificsupply.bloomreach.com/products/4448110	4448110	B-Line BH9 #12 Single Jack Chain	B-Line BH9 # 12 Einzel-Jack-Kette	Eaton B-Line BH9 Single Jack Chain	Eaton B-Line BH9 Einzel Jack Kette	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4448110	8.38	Eaton B-Line	BH9	78101118850	FASTENERS,HANGER FASTENERS,Light Fixtures, Signs	FASTENERS, HANGER FASTENERS, Leuchten, Schilder					Steel	Stahl	#12 X 100 Feet	# 12 X 100 Feet		0.087		Jack Chain, Single	Jack-Kette, Einzel
Fasteners & Hardware|Cable, Chain & Rope|Chains|Jack Chains	Cable & Chain		PNB160000000000|PNB160300000000|PNB160301000000|PNB160301030000	in stock	13.77	https://pacificsupply.bloomreach.com/products/4409877	4409877	Cully 72012 #12 Jack Chain, Zinc	Cully 72012 # 12 Jack-Kette, Zink	Cully 72012 12ga Jack Chain, Zinc Plated - 100ft Reel	Cully 72012 12ga Jack Kette, verzinkt - 100ft Reel	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4409877.jpg	8.68	Minerallac	72012	8593772012	Support of light fixtures and signs	Unterstützung von Leuchten und Zeichen				100 ft	Zinc plated steel	Verzinkter Stahl	#12 GA	# 12 GA		9		Tenso Chain	Tenso Kette
Fasteners & Hardware|Cable, Chain & Rope|Chains|Jack Chains	Cable & Chain		PNB160000000000|PNB160300000000|PNB160301000000|PNB160301030000	in stock	11.82	https://pacificsupply.bloomreach.com/products/4568539	4568539	Cully 72014 #14 Jack Chain, Zinc	Cully 72014 # 14 Jack-Kette, Zink	Minerallac 72014 14 AWG 16 lb Zinc Plated Steel Jack Chain	Minerallac 72014 14 AWG 16 lb verzinktes Stahl Jack Kette	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4568539	7.45	Minerallac	72014	8593772014	Ideal for hanging signs, lighting fixtures and novelties such as flower pots, children's toys and other general utility applications.	Ideal für Schilder hängen, Leuchten und Neuheiten wie Blumentöpfe, Kinderspielzeug und andere allgemeine Utility-Anwendungen.				200 ft	Steel	Stahl	#14 GA	# 14 GA		9.6		Tenso Chain	Tenso Kette
