manufacturer	catalog_number	catalog_number_partialvalue	master_upc	application	color	height	length	material	size	voltage_rating	weight	type	availability	url	pid	title	description	brand	thumb_image	price	sale_price	category_paths
Milwaukee Electric Tool	5243	['524', '5243']	04524202170								20.790		True	https://pacific.bloomreach.com/supplyglobal/products/4129489___4129489	4129489	MILW 5243 GRINDER STRAIGHT 6 15A	Milwaukee 5243 6 Diameter 15 Amp 120 V 6700 RPM 5/8 - 11 Spindle Trigger Switch Straight Grinder	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4129489.jpg	5.84	3.68	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251503000000', 'name': 'Corded Power Tools'}, {'id': 'NA_251503400000', 'name': 'Sanders and Grinders'}, {'id': 'NA_251503400500', 'name': 'Grinders'}]]
Legrand-Pass & Seymour	2601-W	['260', '2601', '2601-', '2601-W']	78500753905	Industrial	White			Thermoplastic	4.25	120/277 V	0.182	Switch	True	https://pacific.bloomreach.com/supplyglobal/products/413352___413352	413352	PS 2601-W Spec Grade Single Pole	Pass & Seymour 2601-W Single Pole, Back And Side Wire, Decorator Switch, 15 Amps, 120/277 Volts, White.	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_413352.jpg	8.13	5.12	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703010000', 'name': 'Decorator Switches'}]]
Black & Decker	DW1910	['DW1', 'DW19', 'DW191', 'DW1910']	02887730235					High Speed Steel			0.030	Drill Bit	True	https://pacific.bloomreach.com/supplyglobal/products/4135522___4135522	4135522	DEWALT DW1910 5/32 Drill Bit	Stanley Black & Decker DW1910 Dewalt 5/32 Inch Diameter 2 Inch Flute Length Split Pilot Point Drill Bit	BLACK & DECKER	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4135522.jpg	8.64	5.44	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251501000000', 'name': 'Attachments'}, {'id': 'NA_251501090000', 'name': 'Drill Bits'}, {'id': 'NA_251501093100', 'name': 'Pilot Bits'}]]
ABB Installation Products	TY5242MX	['TY5', 'TY52', 'TY524', 'TY5242', 'TY5242M', 'TY5242MX']	78621086988		Black		8.19	Nylon 6.6			1.875	Standard	True	https://pacific.bloomreach.com/supplyglobal/products/414171___414171	414171	T&B TY5242MX 8 Locking Cable Tie	Thomas & Betts TY5242MX Weather Resistant Nylon Cable Tie, 8 Length, .14 Width, Black	Ty-Rap	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_414171	8.44	5.31	[[{'id': 'NA_270000000000', 'name': 'Connectors, Marking, & Termination'}, {'id': 'NA_270100000000', 'name': 'Wire Bundling'}, {'id': 'NA_270104000000', 'name': 'Cable Ties'}]]
Milwaukee Electric Tool	6268-21	['626', '6268', '6268-', '6268-2', '6268-21']	04524204616				9-1/2 IN			120 VAC	9.870	Orbital	True	https://pacific.bloomreach.com/supplyglobal/products/4145232___4145232	4145232	MILW 6268-21 Orbital Jig Saw Top	Milwaukee 6268-21 Orbital Jig Saw	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4145232.jpg	10.96	6.9	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251503000000', 'name': 'Corded Power Tools'}, {'id': 'NA_251503410000', 'name': 'Saws'}, {'id': 'NA_251503410500', 'name': 'Jig Saws'}]]
ABB Installation Products	TY275MX	['TY2', 'TY27', 'TY275', 'TY275M', 'TY275MX']	78621087083		Black		18 in	Nylon/Polyamide 6.6			10.000	Standard	True	https://pacific.bloomreach.com/supplyglobal/products/415379___415379	415379	T&B TY275MX 18 Locking Cable Tie 	Thomas & Betts TY275MX 2-Piece Bulk Pack 18 Inch 120 lb Ultraviolet Black Cable Tie	Ty-Rap	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_415379	8.1	5.1	[[{'id': 'NA_270000000000', 'name': 'Connectors, Marking, & Termination'}, {'id': 'NA_270100000000', 'name': 'Wire Bundling'}, {'id': 'NA_270104000000', 'name': 'Cable Ties'}]]
Milwaukee Electric Tool	6370-21	['637', '6370', '6370-', '6370-2', '6370-21']	04524204953	For Metal Cutting Applications						120 VAC	27.380	Grounded, Corded	True	https://pacific.bloomreach.com/supplyglobal/products/4158520___4158520	4158520	MILW 6370-21 SAW METAL CUTTING 8	Milwaukee 6370-21 8 Metal Cutting Saw Kit with Carrying Case	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4158520.jpg	8.7	5.48	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251503000000', 'name': 'Corded Power Tools'}, {'id': 'NA_251503410000', 'name': 'Saws'}, {'id': 'NA_251503410300', 'name': 'Circular Saws'}]]
Stanley Black & Decker	DWM120K	['DWM', 'DWM1', 'DWM12', 'DWM120', 'DWM120K']	88591104850								23.750	Deep Cut	True	https://pacific.bloomreach.com/supplyglobal/products/4159188___4159188	4159188	DEWALT DWM120K 4-3/4 VS BANDSAW	Stanley Black & Decker DWM120K Dewalt 10 Amp 100 - 350 FPM 21 Inch Deep Cut Band Saw with LED Light Kit	DEWALT	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4159188.jpg	11.11	7.0	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251503000000', 'name': 'Corded Power Tools'}, {'id': 'NA_251503410000', 'name': 'Saws'}, {'id': 'NA_251503410100', 'name': 'Band Saws'}]]
Milwaukee Electric Tool	6370-20	['637', '6370', '6370-', '6370-2', '6370-20']	04524204952	For Metal Cutting						120 VAC	18.520	Grounded, Corded	True	https://pacific.bloomreach.com/supplyglobal/products/4159889___4159889	4159889	MILW 6370-20 SAW METAL CUTTING 8	Milwaukee 6370-20 8 Metal Cutting Saw	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4159889.jpg	8.6	5.42	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251503000000', 'name': 'Corded Power Tools'}, {'id': 'NA_251503410000', 'name': 'Saws'}, {'id': 'NA_251503410300', 'name': 'Circular Saws'}]]
Black & Decker	DW1916	['DW1', 'DW19', 'DW191', 'DW1916']	02887730215					High Speed Steel			0.050	Drill Bit	True	https://pacific.bloomreach.com/supplyglobal/products/4163816___4163816	4163816	DEWALT DW1916B 1/4 Drill Bit	Stanley Black & Decker DW1916 Dewalt 1/4 Inch Diameter Pilot Point Drill Bit	BLACK & DECKER	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4163816.jpg	5.2	3.28	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251501000000', 'name': 'Attachments'}, {'id': 'NA_251501090000', 'name': 'Drill Bits'}, {'id': 'NA_251501093100', 'name': 'Pilot Bits'}]]
Milwaukee Electric Tool	6477-20	['647', '6477', '6477-', '6477-2', '6477-20']	04524205008								19.000		True	https://pacific.bloomreach.com/supplyglobal/products/4170009___4170009	4170009	MILW 6477-20 SAW CIRC 7-1/4 15A	Milwaukee 6477-20 7-1/4 Worm Drive Circular Saw	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4170009.jpg	6.97	4.39	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251503000000', 'name': 'Corded Power Tools'}, {'id': 'NA_251503410000', 'name': 'Saws'}, {'id': 'NA_251503410300', 'name': 'Circular Saws'}]]
Milwaukee Electric Tool	6390-20	['639', '6390', '6390-', '6390-2', '6390-20']	04524204957								14.020		True	https://pacific.bloomreach.com/supplyglobal/products/4171781___4171781	4171781	MILW 6390-20 SAW CIRC 7-1/4 15 AMP	Milwaukee 6390-20 Tilt-Lok&#8482; 7-1/4 Circular Saw	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4171781.jpg	5.88	3.71	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251503000000', 'name': 'Corded Power Tools'}, {'id': 'NA_251503410000', 'name': 'Saws'}, {'id': 'NA_251503410300', 'name': 'Circular Saws'}]]
ABB Installation Products	TY5244MX	['TY5', 'TY52', 'TY524', 'TY5244', 'TY5244M', 'TY5244MX']	78621087294		Black		14.5 in	Nylon/Polyamide 6.6			5.000	Standard	True	https://pacific.bloomreach.com/supplyglobal/products/417490___417490	417490	T&B TY5244MX LOCKING CABLE TIE     	Thomas & Betts TY5244MX Weather Resistant Nylon Cable Tie, 14.5 Length, .14 Width, Black	Ty-Rap	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_417490	6.07	3.83	[[{'id': 'NA_270000000000', 'name': 'Connectors, Marking, & Termination'}, {'id': 'NA_270100000000', 'name': 'Wire Bundling'}, {'id': 'NA_270104000000', 'name': 'Cable Ties'}]]
Black & Decker	D28715	['D28', 'D287', 'D2871', 'D28715']	02887757104								45.850		True	https://pacific.bloomreach.com/supplyglobal/products/4190822___4190822	4190822	DEWALT D28715 14 Abrasive Chop Saw	Stanley Black & Decker D28715 Dewalt 15 Amp 55 Hp 4000 RPM 14 Inch Diameter Chop Saw	BLACK & DECKER	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4190822.jpg	10.83	6.82	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251503000000', 'name': 'Corded Power Tools'}, {'id': 'NA_251503410000', 'name': 'Saws'}, {'id': 'NA_251503410200', 'name': 'Chop Saws'}]]
Stanley Black & Decker	DW872	['DW8', 'DW87', 'DW872']	02887500872	For Ferrous and Non-Ferrous Metals							57.650	Mini-Cutter Saw	True	https://pacific.bloomreach.com/supplyglobal/products/4220321___4220321	4220321	DEWALT DW872 CHOP SAW 14 MULTI-CUT	Stanley Black & Decker DW872 15 Amp 14 Inch 1300 RPM Carbide Tipped Corded Multi-Cutter Saw	DEWALT	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4220321.jpg	9.19	5.79	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251503000000', 'name': 'Corded Power Tools'}, {'id': 'NA_251503410000', 'name': 'Saws'}, {'id': 'NA_251503410300', 'name': 'Circular Saws'}]]
Milwaukee Electric Tool	6101-6	['610', '6101', '6101-', '6101-6']	04524204163								6.090		True	https://pacific.bloomreach.com/supplyglobal/products/4221869___4221869	4221869	MILW 6101-6 BANDFILE 5.5A 1/2X18	Milwaukee 6101-6 5.5 Amp Band File	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4221869.jpg	9.91	6.24	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251503000000', 'name': 'Corded Power Tools'}, {'id': 'NA_251503400000', 'name': 'Sanders and Grinders'}, {'id': 'NA_251503400500', 'name': 'Grinders'}]]
Milwaukee Electric Tool	6480-20	['648', '6480', '6480-', '6480-2', '6480-20']	04524205949								185.000		True	https://pacific.bloomreach.com/supplyglobal/products/4225015___4225015	4225015	MILW 6480-20 PANEL SAW 8-1/4	Milwaukee 6480-20 15 Amp (3-1/4 Max HP) 8-1/4 Panel Saw	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4225015.jpg	9.25	5.83	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251503000000', 'name': 'Corded Power Tools'}, {'id': 'NA_251503410000', 'name': 'Saws'}, {'id': 'NA_251503411100', 'name': 'Panel Saws'}]]
Brady	86871	['868', '8687', '86871']	75447386871		Black/Red on White	3.5		Brady B-302 Polyester			0.050	Label	True	https://pacific.bloomreach.com/supplyglobal/products/4230885___4230885	4230885	BRADY 86871 EQUIPMENT/OEM LABELS	EQUIPMENT/OEM LABELS	Brady	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4230885.jpg	11.66	7.34	[[{'id': 'NA_220000000000', 'name': 'Safety'}, {'id': 'NA_221300000000', 'name': 'Warning Signs & Labels'}, {'id': 'NA_221309000000', 'name': 'Labels and Markers'}, {'id': 'NA_221309050000', 'name': 'Warning Labels'}]]
ABB Installation Products	TY52315M	['TY5', 'TY52', 'TY523', 'TY5231', 'TY52315', 'TY52315M']	78621087544		Ivory		7 in ; 177.81 mm	Nylon/Polyamide 6.6			0.940	Standard	True	https://pacific.bloomreach.com/supplyglobal/products/423352___423352	423352	T&B TY52315M LOCKING CABLE TIE	Thomas & Betts TY52315M Nylon Cable Tie, 7 Length, .09 Width, Natural	Ty-Rap	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_423352	12.75	8.04	[[{'id': 'NA_270000000000', 'name': 'Connectors, Marking, & Termination'}, {'id': 'NA_270100000000', 'name': 'Wire Bundling'}, {'id': 'NA_270104000000', 'name': 'Cable Ties'}]]
ABB Installation Products	TY52315MX	['TY5', 'TY52', 'TY523', 'TY5231', 'TY52315', 'TY52315M', 'TY52315MX']	78621087545		Black		7	Nylon 6.6			1.000	Standard	True	https://pacific.bloomreach.com/supplyglobal/products/423383___423383	423383	T&B TY52315MX 7 LOCKING CABLE TIE	Thomas & Betts TY52315MX Weather Resistant Nylon Cable Tie, 7 Length, .09 Width, Black	Ty-Rap	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_423383	8.82	5.56	[[{'id': 'NA_270000000000', 'name': 'Connectors, Marking, & Termination'}, {'id': 'NA_270100000000', 'name': 'Wire Bundling'}, {'id': 'NA_270104000000', 'name': 'Cable Ties'}]]
Rockwell Automation	1492-CAB025U62	['149', '1492', '1492-', '1492-C', '1492-CA', '1492-CAB', '1492-CAB0', '1492-CAB02', '1492-CAB025', '1492-CAB025U', '1492-CAB025U6', '1492-CAB025U62']	88563004166	For Bulletin 1762 MicroLogix 1200,Mates With 1762-IB32T, 1762-OB32T And 1762-OV32T Expansion I/O, Bottom Biased			2.5 m				1.451	Digital Cable	True	https://pacific.bloomreach.com/supplyglobal/products/4248206___4248206	4248206	AB 1492-CAB025U62 2.5M CABLE FOR	A-B 1492-CAB025U62 I/O Ready Digital Cable	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4248206.jpg	10.75	6.77	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120200000000', 'name': 'Control System Connection Devices'}, {'id': 'NA_120203000000', 'name': 'Control System Connection Cables'}]]
Rockwell Automation	1492-CAB025P62	['149', '1492', '1492-', '1492-C', '1492-CA', '1492-CAB', '1492-CAB0', '1492-CAB02', '1492-CAB025', '1492-CAB025P', '1492-CAB025P6', '1492-CAB025P62']	88563004169	For Bulletin 1762 MicroLogix 1200,Mates With 1762-IB32T, 1762-OB32T And 1762-OV32T Expansion I/O, Top-Biased			2.5 m				1.459	Digital Cable	True	https://pacific.bloomreach.com/supplyglobal/products/4248209___4248209	4248209	AB 1492-CAB025P62 2.5M CABLE FOR	A-B 1492-CAB025P62 I/O Ready Digital Cable	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4248209.jpg	7.85	4.94	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120200000000', 'name': 'Control System Connection Devices'}, {'id': 'NA_120203000000', 'name': 'Control System Connection Cables'}]]
ROBERT BOSCH TOOL CORP.	JS365	['JS3', 'JS36', 'JS365']	00034639405										True	https://pacific.bloomreach.com/supplyglobal/products/4248632___4248632	4248632	BOSCH JS365 JIGSAW 6.5 AMP TOP	Bosch JS365 Top Handle Jig Saw	Bosch	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4248632.jpg	12.1	7.62	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251503000000', 'name': 'Corded Power Tools'}, {'id': 'NA_251503410000', 'name': 'Saws'}, {'id': 'NA_251503410500', 'name': 'Jig Saws'}]]
Rockwell Automation	1492-CJD6-50	['149', '1492', '1492-', '1492-C', '1492-CJ', '1492-CJD', '1492-CJD6', '1492-CJD6-', '1492-CJD6-5', '1492-CJD6-50']	61132016982	for Use With 1492-WM4	Gray						0.179	Center Jumper	True	https://pacific.bloomreach.com/supplyglobal/products/4275079___4275079	4275079	AB 1492-CJD6-50 CENTER JUMPER, 6	A-B 1492-CJD6-50 IEC Center Jumper, 50 PL 6mm, Screw	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4275079.jpg	10.06	6.34	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_121300000000', 'name': 'Terminal Blocks, Wiring Systems & Connectors'}, {'id': 'NA_121305000000', 'name': 'Terminal Block Accessories'}, {'id': 'NA_121305160000', 'name': 'Shorting Links/Jumpers'}]]
Rockwell Automation	2090-SCNP5-0	['209', '2090', '2090-', '2090-S', '2090-SC', '2090-SCN', '2090-SCNP', '2090-SCNP5', '2090-SCNP5-', '2090-SCNP5-0']	66245391564				5-5m				0.115	Fiber Optics Cable	True	https://pacific.bloomreach.com/supplyglobal/products/4276017___4276017	4276017	AB 2090-SCNP5-0 KINETIX 5M	A-B 2090-SCNP5-0 Kinetix 5-5m Fiber Optic Cable	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4276017.jpg	11.09	6.99	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120200000000', 'name': 'Control System Connection Devices'}, {'id': 'NA_120203000000', 'name': 'Control System Connection Cables'}]]
Legrand-Pass & Seymour	CS20AC1-I	['CS2', 'CS20', 'CS20A', 'CS20AC', 'CS20AC1', 'CS20AC1-', 'CS20AC1-I']	78500712645	Commercial	Ivory			Thermoplastic	3.3 in	120/277 V	0.150	Toggle Switch	True	https://pacific.bloomreach.com/supplyglobal/products/4278659___4278659	4278659	PS CS20AC1-I Commercial 1Pole	Pass & Seymour CS20AC1-I Commercial 1Pole Switch, Side Wire, 20Amp 120/277Volt, Ivory	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4278659.jpg	9.92	6.25	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090100', 'name': 'Commercial Grade'}]]
Apex Tool Group	H28N	['H28', 'H28N']	03710322798								ea		True	https://pacific.bloomreach.com/supplyglobal/products/4278831___4278831	4278831	CRESCENT H28N Pliers, Combination	Crescent H28N Pliers, Combination Slip Joint 8	CRESCENT	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4278831.jpg	9.47	5.96	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_250800000000', 'name': 'Hand Tools'}, {'id': 'NA_250855000000', 'name': 'Pliers'}, {'id': 'NA_250855030000', 'name': 'Combination Pliers'}]]
ABB Installation Products	BLB-4	['BLB', 'BLB-', 'BLB-4']	04226933325	For Use with EMT Conduit				Die-Cast Aluminum			2.200	Conduit Body - Series B - EMT	True	https://pacific.bloomreach.com/supplyglobal/products/4281860___4281860	4281860	R-DOT BLB-4 1 1/4 EMT LB CONDUIT	Thomas & Betts BLB-4 1-1/4 Inch EMT LB Conduit Body	Red Dot	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4281860	6.15	3.87	[[{'id': 'NA_110000000000', 'name': 'Conduit, Fittings, & Raceway'}, {'id': 'NA_110300000000', 'name': 'Electrical Conduit & Fittings'}, {'id': 'NA_110302000000', 'name': 'Metallic Conduit & Fittings'}, {'id': 'NA_110302030000', 'name': 'Conduit Body, Covers, & Gaskets'}, {'id': 'NA_110302030900', 'name': 'Type LB Condulets'}]]
Rockwell Automation	1585D-M4UB-5	['158', '1585', '1585D', '1585D-', '1585D-M', '1585D-M4', '1585D-M4U', '1585D-M4UB', '1585D-M4UB-', '1585D-M4UB-5']	88563003876				Standard,5 Meters				0.470	Ethernet Media	True	https://pacific.bloomreach.com/supplyglobal/products/4282780___4282780	4282780	AB 1585D-M4UB-5 M12 Cordset 5M	A-B 1585D-M4UB-5 Micro D-Code, QD Style Ethernet Media	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4282780.jpg	12.44	7.84	[[{'id': 'NA_280000000000', 'name': 'Wire, Cords & Cables'}, {'id': 'NA_280300000000', 'name': 'DataComm & Low Voltage Cable'}, {'id': 'NA_280305000000', 'name': 'Voice, Data & Video Cables'}, {'id': 'NA_280305160000', 'name': 'Patch Cords'}]]
Milwaukee Electric Tool	6141-31	['614', '6141', '6141-', '6141-3', '6141-31']	04524248308			4.2	13.8				6.370		True	https://pacific.bloomreach.com/supplyglobal/products/4284930___4284930	4284930	MILW 6141-31 Angle Grinder 4-1/2	Milwaukee 6141-31 4-1/2 Angle Grinder, 11amp (Small Paddle, No-Lock)	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4284930.jpg	9.67	6.09	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251503000000', 'name': 'Corded Power Tools'}, {'id': 'NA_251503400000', 'name': 'Sanders and Grinders'}, {'id': 'NA_251503400500', 'name': 'Grinders'}]]
Panduit	JMJH2W-X20	['JMJ', 'JMJH', 'JMJH2', 'JMJH2W', 'JMJH2W-', 'JMJH2W-X', 'JMJH2W-X2', 'JMJH2W-X20']	07498343289	Route high performance communication cabling in air handling spaces							1.370	Drop Wire Bracket	True	https://pacific.bloomreach.com/supplyglobal/products/4287776___4287776	4287776	PAND JMJH2W-X20 J-MOD WALL MOUNT	Panduit JMJH2W-X20 J-MOD Wall Mount Cable Support	Panduit	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4287776.jpg	14.08	8.87	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160300000000', 'name': 'Cable, Chain & Rope'}, {'id': 'NA_160302000000', 'name': 'Fittings & Accessories'}, {'id': 'NA_160302170000', 'name': 'J-Hooks'}]]
Panduit	JMJH2-X20	['JMJ', 'JMJH', 'JMJH2', 'JMJH2-', 'JMJH2-X', 'JMJH2-X2', 'JMJH2-X20']	07498343288	Route high performance communication cabling in air handling spaces							1.410	Drop Wire Bracket	True	https://pacific.bloomreach.com/supplyglobal/products/4287777___4287777	4287777	PAND JMJH2-X20 J-MOD CABLE SUPPORT	Panduit JMJH2-X20 J-MOD Cable Support For Use With Brackets	Panduit	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4287777.jpg	12.69	8.0	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160300000000', 'name': 'Cable, Chain & Rope'}, {'id': 'NA_160302000000', 'name': 'Fittings & Accessories'}, {'id': 'NA_160302170000', 'name': 'J-Hooks'}]]
ABB Installation Products	LB28SST	['LB2', 'LB28', 'LB28S', 'LB28SS', 'LB28SST']	78620993117	Suitable for Use In Food and Beverage, Pharmaceutical, Petrochemical, Wastewater Treatment, Pulp and Paper Processing and Other Corrosive Environments				Stainless Steel			1.790	Form 8 Conduit Body	True	https://pacific.bloomreach.com/supplyglobal/products/4295367___4295367	4295367	T&B LB28SST 3/4 SS FORM	Thomas & Betts LB28SST 3/4 316 Stainless Steel Form-8 LB-Conduit Body, Cover & Gasket	T&B	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4295367.jpg	9.34	5.88	[[{'id': 'NA_110000000000', 'name': 'Conduit, Fittings, & Raceway'}, {'id': 'NA_110300000000', 'name': 'Electrical Conduit & Fittings'}, {'id': 'NA_110302000000', 'name': 'Metallic Conduit & Fittings'}, {'id': 'NA_110302030000', 'name': 'Conduit Body, Covers, & Gaskets'}, {'id': 'NA_110302030900', 'name': 'Type LB Condulets'}]]
Panduit	JP131DW-L20	['JP1', 'JP13', 'JP131', 'JP131D', 'JP131DW', 'JP131DW-', 'JP131DW-L', 'JP131DW-L2', 'JP131DW-L20']	07498344040	Route high performance communication cabling in air handling spaces	Black			Nylon 6.6/Metal			4.300	J-Pro Cable Support	True	https://pacific.bloomreach.com/supplyglobal/products/4314661___4314661	4314661	PAND JP131DW-L20 J-Pro Cable	Panduit JP131DW-L20 J-Pro Cable Support System Drop Wire and Threaded Rod Clip	Panduit	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4314661.jpg	10.17	6.41	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160300000000', 'name': 'Cable, Chain & Rope'}, {'id': 'NA_160302000000', 'name': 'Fittings & Accessories'}, {'id': 'NA_160302170000', 'name': 'J-Hooks'}]]
ABB Installation Products	TY234MX	['TY2', 'TY23', 'TY234', 'TY234M', 'TY234MX']	78621088418		Black		14 in	Nylon/Polyamide 6.6			25.000	Standard	True	https://pacific.bloomreach.com/supplyglobal/products/431481___431481	431481	T&B TY234MX Locking Cable Tie 18LB	Thomas & Betts TY234MX 14 Inch 18 lb Black Cable Tie	Ty-Rap	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_431481	10.62	6.69	[[{'id': 'NA_270000000000', 'name': 'Connectors, Marking, & Termination'}, {'id': 'NA_270100000000', 'name': 'Wire Bundling'}, {'id': 'NA_270104000000', 'name': 'Cable Ties'}]]
Rockwell Automation	2090-CPBM4E2-14TR	['209', '2090', '2090-', '2090-C', '2090-CP', '2090-CPB', '2090-CPBM', '2090-CPBM4', '2090-CPBM4E', '2090-CPBM4E2', '2090-CPBM4E2-', '2090-CPBM4E2-1', '2090-CPBM4E2-14', '2090-CPBM4E2-14T', '2090-CPBM4E2-14TR']	88495114208		Black		0.5 m			600 V	0.891	Transition Cable	True	https://pacific.bloomreach.com/supplyglobal/products/4319282___4319282	4319282	AB 2090-CPBM4E2-14TR MP-Series 0.5m	A-B 2090-CPBM4E2-14TR MP-Series 0.5m Length Transition Cable	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4319282.jpg	9.13	5.75	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120200000000', 'name': 'Control System Connection Devices'}, {'id': 'NA_120203000000', 'name': 'Control System Connection Cables'}]]
