pid	url	availability	price	gender	color	brand	material	collection	style	bread_crumb	title	stock_level	special_offer	season	edited_availability	edited_price	edited_gender	edited_color	edited_brand	edited_material	edited_collection	edited_style	edited_bread_crumb	edited_title	edited_stock_level	edited_special_offer	edited_season
103696	https://pacific.bloomreach.com/apparel/products/103696___103696	TRUE	21.99	female	Navy Blue	BoStreet	Cotton		Casual	women>pants|women>jeans	BoStreet Women Navy Blue Low Distress Light Fade Jeans	ok	back2school	summer	TRUE	21.99	female	Navy Blue	BoStreet	Cotton		Casual	women>pants|women>jeans	BoStreet Women Navy Blue Low Distress Light Fade Jeans	ok	back2school	summer
103697	https://pacific.bloomreach.com/apparel/products/103697___103697	FALSE	31.11	female	Blue	High Star	Cotton	Harmony	Casual	women>pants|women>jeans	High Star Women Blue Bootcut High-Rise Jeans	OOS	valentine	mid-season	FALSE	31.11	female	Blue	High Star	Cotton	Harmony	Casual	women>pants|women>jeans	High Star Women Blue Bootcut High-Rise Jeans	OOS	valentine	mid-season
103698	https://pacific.bloomreach.com/apparel/products/103698___103698	TRUE	36.02	female	Blue	URBANIC	Cotton	Harmony	Casual	women>pants|women>jeans	URBANIC Women Blue Pure Cotton Straight Fit Embellished Stretchable Jeans	unknown	back2school	summer	TRUE	36.02	female	Blue	URBANIC	Cotton	Harmony	Casual	women>pants|women>jeans	URBANIC Women Blue Pure Cotton Straight Fit Embellished Stretchable Jeans	unknown	back2school	summer
103699	https://pacific.bloomreach.com/apparel/products/103699___103699	TRUE	22.99	female	Blue	BoStreet	Cotton		Casual	women>pants|women>jeans	BoStreet Women Blue Mildly Distressed Light Fade Jeans	unknown	easter	winter	TRUE	22.99	female	Blue	BoStreet	Cotton		Casual	women>pants|women>jeans	BoStreet Women Blue Mildly Distressed Light Fade Jeans	unknown	easter	winter
103700	https://pacific.bloomreach.com/apparel/products/103700___103700	TRUE	34.11	female	Black	People	Cotton		Casual	women>pants|women>jeans	People Women Black Tapered Fit High-Rise Jeans	ok	blackfriday	winter	TRUE	34.11	female	Black	People	Cotton		Casual	women>pants|women>jeans	People Women Black Tapered Fit High-Rise Jeans	ok	blackfriday	winter
103701	https://pacific.bloomreach.com/apparel/products/103701___103701	TRUE	38.11	female	Black	Styli	Cotton	Harmony	Casual	women>pants|women>jeans	Styli Women Black Straight Fit High-Rise Slash Knee Jeans	high	blackfriday	winter	TRUE	38.11	female	Black	Styli	Cotton	Harmony	Casual	women>pants|women>jeans	Styli Women Black Straight Fit High-Rise Slash Knee Jeans	high	blackfriday	winter
103702	https://pacific.bloomreach.com/apparel/products/103702___103702	TRUE	23.99	female	Charcoal	River Of Design	Cotton		Casual	women>pants|women>jeans	Women Charcoal Wide Leg High-Rise Jeans	low	blackfriday	mid-season	TRUE	23.99	female	Charcoal	Pacific 25	Cotton		Casual	women>pants|women>jeans	Women Charcoal Wide Leg High-Rise Jeans	low	blackfriday	mid-season
103703	https://pacific.bloomreach.com/apparel/products/103703___103703	TRUE	35.11	female	Grey	Roadster	Cotton		Casual	women>pants|women>jeans	Roadster Women Grey Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans	ok	mothersday	summer	TRUE	35.11	female	Grey	Roadster	Cotton		Casual	women>pants|women>jeans	Roadster Women Grey Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans	ok	mothersday	summer
103704	https://pacific.bloomreach.com/apparel/products/103704___103704	TRUE	37.9	female	Black	MANGO	Cotton	Harmony	Casual	women>pants|women>jeans	MANGO Women Black High-Rise Zebra Printed Mom Fit Pure Cotton Jeans	ok	blackfriday	mid-season	TRUE	37.9	female	Black	MANGO	Cotton	Harmony	Casual	women>pants|women>jeans	MANGO Women Black High-Rise Zebra Printed Mom Fit Pure Cotton Jeans	ok	blackfriday	mid-season
103706	https://pacific.bloomreach.com/apparel/products/103706___103706	FALSE	25.99	female	Off White	TARAMA	Cotton		Casual	women>pants|women>jeans	TARAMA Women Off White Wide Leg High-Rise Slash Knee Cotton Jeans	OOS	none	mid-season	FALSE	25.99	female	Off White	TARAMA	Cotton		Casual	women>pants|women>jeans	TARAMA Women Off White Wide Leg High-Rise Slash Knee Cotton Jeans	OOS	none	mid-season
103707	https://pacific.bloomreach.com/apparel/products/103707___103707	TRUE	36.99	female	Blue	ONLY			Casual	women>pants|women>jeans	ONLY Women Blue Straight Fit High-Rise Jeans	high	blackfriday	mid-season	TRUE	36.99	female	Blue	ONLY			Casual	women>pants|women>jeans	ONLY Women Blue Straight Fit High-Rise Jeans	high	blackfriday	mid-season
103708	https://pacific.bloomreach.com/apparel/products/103708___103708	TRUE	19.99	female	Blue	Pacific Style	Cotton	Harmony	Casual	women>pants|women>jeans	Women Blue Flared High-Rise Pure Cotton Jeans	ok	blackfriday	winter	TRUE	19.99	female	Blue	Pacific 25	Cotton	Harmony	Casual	women>pants|women>jeans	Women Blue Flared High-Rise Pure Cotton Jeans	ok	blackfriday	winter
103709	https://pacific.bloomreach.com/apparel/products/103709___103709	TRUE	29.99	female	Blue	ONLY			Casual	women>pants|women>jeans	ONLY Women Blue Skinny Fit Light Fade Jeans	unknown	valentine	winter	TRUE	29.99	female	Blue	ONLY			Casual	women>pants|women>jeans	ONLY Women Blue Skinny Fit Light Fade Jeans	unknown	valentine	winter
103710	https://pacific.bloomreach.com/apparel/products/103710___103710	FALSE	38.11	female	Navy Blue	Mast & Harbour	Cotton	Harmony	Casual	women>pants|women>jeans	Mast & Harbour Women Navy Blue Skinny Fit Light Fade Stretchable Jeans	OOS	none	winter	FALSE	38.11	female	Navy Blue	Mast & Harbour	Cotton	Harmony	Casual	women>pants|women>jeans	Mast & Harbour Women Navy Blue Skinny Fit Light Fade Stretchable Jeans	OOS	none	winter
103711	https://pacific.bloomreach.com/apparel/products/103711___103711	TRUE	39.99	female	Navy Blue	DOLCE CRUDO	Cotton			women>pants|women>jeans	DOLCE CRUDO Women Navy Blue Skinny Fit Mid-Rise Clean Look Jeans	unknown	mothersday	summer	TRUE	39.99	female	Navy Blue	DOLCE CRUDO	Cotton			women>pants|women>jeans	DOLCE CRUDO Women Navy Blue Skinny Fit Mid-Rise Clean Look Jeans	unknown	mothersday	summer
103712	https://pacific.bloomreach.com/apparel/products/103712___103712	FALSE	21.99	female	Navy Blue	SASSAFRAS	Cotton			women>pants|women>jeans	SASSAFRAS Women Navy Blue Pure Cotton Side Pearl Detail Clean Look Cropped Jeans	OOS	back2school	winter	FALSE	21.99	female	Navy Blue	SASSAFRAS	Cotton			women>pants|women>jeans	SASSAFRAS Women Navy Blue Pure Cotton Side Pearl Detail Clean Look Cropped Jeans	OOS	back2school	winter
103713	https://pacific.bloomreach.com/apparel/products/103713___103713	TRUE	23.49	female	Blue	Flying Machine	Cotton	Harmony	Casual	women>pants|women>jeans	Flying Machine Women Blue Mom Fit Light Fade Stretchable Jeans	high	blackfriday	summer	TRUE	23.49	female	Blue	Flying Machine	Cotton	Harmony	Casual	women>pants|women>jeans	Flying Machine Women Blue Mom Fit Light Fade Stretchable Jeans	high	blackfriday	summer
103714	https://pacific.bloomreach.com/apparel/products/103714___103714	TRUE	26.99	female	Blue	BoStreet	Cotton		Casual	women>pants|women>jeans	BoStreet Women Blue Highly Distressed Jeans	ok	back2school	mid-season	TRUE	26.99	female	Blue	BoStreet	Cotton		Casual	women>pants|women>jeans	BoStreet Women Blue Highly Distressed Jeans	ok	back2school	mid-season
103715	https://pacific.bloomreach.com/apparel/products/103715___103715	TRUE	24.99	female	Blue	HERE&NOW	Cotton	Harmony	Casual	women>pants|women>jeans	HERE&NOW Women Blue Flared High-Rise Stretchable Jeans	low	mothersday	summer	TRUE	24.99	female	Blue	HERE&NOW	Cotton	Harmony	Casual	women>pants|women>jeans	HERE&NOW Women Blue Flared High-Rise Stretchable Jeans	low	mothersday	summer
103716	https://pacific.bloomreach.com/apparel/products/103716___103716	TRUE	24.99	female	Black	BoStreet	Cotton	Harmony	Casual	women>pants|women>jeans	BoStreet Women Black Mildly Distressed Jeans	high	blackfriday	summer	TRUE	24.99	female	Black	BoStreet	Cotton	Harmony	Casual	women>pants|women>jeans	BoStreet Women Black Mildly Distressed Jeans	high	blackfriday	summer
103717	https://pacific.bloomreach.com/apparel/products/103717___103717	TRUE	20.99	female	Violet	Tokyo Talkies	Cotton			women>pants|women>jeans	Tokyo Talkies Women Violet Wide Leg Stretchable Jeans	low	mothersday	mid-season	TRUE	20.99	female	Violet	Tokyo Talkies	Cotton			women>pants|women>jeans	Tokyo Talkies Women Violet Wide Leg Stretchable Jeans	low	mothersday	mid-season
103718	https://pacific.bloomreach.com/apparel/products/103718___103718	TRUE	26.99	female	Black	Roadster	Cotton	Harmony	Casual	women>pants|women>jeans	The Roadster Lifestyle Co Women Black Skinny Fit High-Rise Stretchable Jeans	low	back2school	mid-season	TRUE	26.99	female	Black	Roadster	Cotton	Harmony	Casual	women>pants|women>jeans	The Roadster Lifestyle Co Women Black Skinny Fit High-Rise Stretchable Jeans	low	back2school	mid-season
103719	https://pacific.bloomreach.com/apparel/products/103719___103719	TRUE	21.99	female	Blue	Flying Machine	Cotton	Harmony	Casual	women>pants|women>jeans	Flying Machine Women Blue Twiggy Super Skinny Fit Mid-Rise Heavy Fade Stretchable Jeans	ok	mothersday	winter	TRUE	21.99	female	Blue	Flying Machine	Cotton	Harmony	Casual	women>pants|women>jeans	Flying Machine Women Blue Twiggy Super Skinny Fit Mid-Rise Heavy Fade Stretchable Jeans	ok	mothersday	winter
103720	https://pacific.bloomreach.com/apparel/products/103720___103720	TRUE	23.99	female	Black	BoStreet	Cotton		Casual	women>pants|women>jeans	BoStreet Women Black Slim Fit Mildly Distressed Light Fade Jeans	low	valentine	mid-season	TRUE	23.99	female	Black	BoStreet	Cotton		Casual	women>pants|women>jeans	BoStreet Women Black Slim Fit Mildly Distressed Light Fade Jeans	low	valentine	mid-season
103721	https://pacific.bloomreach.com/apparel/products/103721___103721	TRUE	37.07	female	Blue	Pacific Style	Cotton		Casual	women>pants|women>jeans	Women Blue Straight Fit High-Rise Jeans	low	back2school	winter	TRUE	37.07	female	Blue	Pacific 25	Cotton		Casual	women>pants|women>jeans	Women Blue Straight Fit High-Rise Jeans	low	back2school	winter
103722	https://pacific.bloomreach.com/apparel/products/103722___103722	TRUE	32.11	female	Blue	People	Cotton		Casual	women>pants|women>jeans	People Women Blue Slim Fit Mid-Rise Clean Look Light Fade Cotton Jeans	ok	none	winter	TRUE	32.11	female	Blue	People	Cotton		Casual	women>pants|women>jeans	People Women Blue Slim Fit Mid-Rise Clean Look Light Fade Cotton Jeans	ok	none	winter
103723	https://pacific.bloomreach.com/apparel/products/103723___103723	TRUE	37.61	female	Blue	Styli	Cotton	Harmony	Casual	women>pants|women>jeans	Styli Women Blue Wide Leg High-Rise Jeans	unknown	mothersday	winter	TRUE	37.61	female	Blue	Styli	Cotton	Harmony	Casual	women>pants|women>jeans	Styli Women Blue Wide Leg High-Rise Jeans	unknown	mothersday	winter
103724	https://pacific.bloomreach.com/apparel/products/103724___103724	FALSE	36.11	female	Black	Pacific 25	Cotton		Casual	women>pants|women>jeans	Women Black Skinny Fit Mid-Rise Clean Look Cropped Stretchable Jeans	OOS	christmas	winter	FALSE	36.11	female	Black	Pacific 25	Cotton		Casual	women>pants|women>jeans	Women Black Skinny Fit Mid-Rise Clean Look Cropped Stretchable Jeans	OOS	christmas	winter
103725	https://pacific.bloomreach.com/apparel/products/103725___103725	TRUE	34.02	female	Brown	URBANIC	Cotton	Harmony	Casual	women>pants|women>jeans	URBANIC Women Brown Wide Leg Jeans	low	mothersday	mid-season	TRUE	34.02	female	Brown	URBANIC	Cotton	Harmony	Casual	women>pants|women>jeans	URBANIC Women Brown Wide Leg Jeans	low	mothersday	mid-season
103726	https://pacific.bloomreach.com/apparel/products/103726___103726	TRUE	24.99	female	Blue	Madame	Cotton	Harmony	Casual	women>pants|women>jeans	Madame Women Blue Light Fade Stretchable Jeans	low	back2school	winter	TRUE	24.99	female	Blue	Madame	Cotton	Harmony	Casual	women>pants|women>jeans	Madame Women Blue Light Fade Stretchable Jeans	low	back2school	winter
103727	https://pacific.bloomreach.com/apparel/products/103727___103727	TRUE	38.11	female	Blue	Roadster	Cotton		Casual	women>pants|women>jeans	The Roadster Lifestyle Co Women Blue Mid-Rise Skinny Fit Ligh Stretchable Jeans With Back Hem Slit Detail	low	christmas	mid-season	TRUE	38.11	female	Blue	Roadster	Cotton		Casual	women>pants|women>jeans	The Roadster Lifestyle Co Women Blue Mid-Rise Skinny Fit Ligh Stretchable Jeans With Back Hem Slit Detail	low	christmas	mid-season
103728	https://pacific.bloomreach.com/apparel/products/103728___103728	TRUE	36.11	female	Blue	Tokyo Talkies	Cotton	Harmony	Casual	women>pants|women>jeans	Tokyo Talkies Women Blue Regular Fit Jeans	ok	mothersday	summer	TRUE	36.11	female	Blue	Tokyo Talkies	Cotton	Harmony	Casual	women>pants|women>jeans	Tokyo Talkies Women Blue Regular Fit Jeans	ok	mothersday	summer
103729	https://pacific.bloomreach.com/apparel/products/103729___103729	TRUE	38.11	female	Blue	Nifty	Cotton		Casual	women>pants|women>jeans	Nifty Women Blue Slim Fit High-Rise Clean Look Stretchable Light Fade Jeans	unknown	back2school	mid-season	TRUE	38.11	female	Blue	Nifty	Cotton		Casual	women>pants|women>jeans	Nifty Women Blue Slim Fit High-Rise Clean Look Stretchable Light Fade Jeans	unknown	back2school	mid-season
103730	https://pacific.bloomreach.com/apparel/products/103730___103730	FALSE	36.1	female	Black	Harvard	Cotton			women>pants|women>jeans	Harvard Women Black Mid Rise Skinny Fit Stretchable Cropped Jeans	OOS	blackfriday	winter	FALSE	36.1	female	Black	Harvard	Cotton			women>pants|women>jeans	Harvard Women Black Mid Rise Skinny Fit Stretchable Cropped Jeans	OOS	blackfriday	winter
103731	https://pacific.bloomreach.com/apparel/products/103731___103731	TRUE	19.99	female	Navy Blue	PARIS HAMILTON	Cotton		Casual	women>pants|women>jeans	PARIS HAMILTON Women Navy Blue Skinny High-Rise Tummy Tucker Clean Look Stretchable Jeans	ok	blackfriday	mid-season	TRUE	19.99	female	Navy Blue	PARIS HAMILTON	Cotton		Casual	women>pants|women>jeans	PARIS HAMILTON Women Navy Blue Skinny High-Rise Tummy Tucker Clean Look Stretchable Jeans	ok	blackfriday	mid-season
103732	https://pacific.bloomreach.com/apparel/products/103732___103732	FALSE	37.11	female	Blue	Nifty	Cotton		Casual	women>pants|women>jeans	Nifty Women Blue Bootcut High-Rise Light Fade Frayed Jeans	OOS	mothersday	mid-season	FALSE	37.11	female	Blue	Nifty	Cotton		Casual	women>pants|women>jeans	Nifty Women Blue Bootcut High-Rise Light Fade Frayed Jeans	OOS	mothersday	mid-season
103733	https://pacific.bloomreach.com/apparel/products/103733___103733	TRUE	24.95	female	Blue	DOLCE CRUDO	Cotton		Casual	women>pants|women>jeans	DOLCE CRUDO Women Blue Skinny Fit High-Rise Jeans	unknown	blackfriday	summer	TRUE	24.95	female	Blue	DOLCE CRUDO	Cotton		Casual	women>pants|women>jeans	DOLCE CRUDO Women Blue Skinny Fit High-Rise Jeans	unknown	blackfriday	summer
103734	https://pacific.bloomreach.com/apparel/products/103734___103734	TRUE	21.9	female	Blue	URBANIC	Cotton	Harmony	Casual	women>pants|women>jeans	URBANIC Women Blue Wide Leg High-Rise Heavy Fade Ombre Jeans	high	blackfriday	winter	TRUE	21.9	female	Blue	URBANIC	Cotton	Harmony	Casual	women>pants|women>jeans	URBANIC Women Blue Wide Leg High-Rise Heavy Fade Ombre Jeans	high	blackfriday	winter
103735	https://pacific.bloomreach.com/apparel/products/103735___103735	TRUE	26.99	female	Blue	Roadster	Cotton	Harmony	Casual	women>pants|women>jeans	Roadster Women Blue Slim Fit Mid-Rise Clean Look Light Fade Jeans With Waist Bag	unknown	back2school	mid-season	TRUE	26.99	female	Blue	Roadster	Cotton	Harmony	Casual	women>pants|women>jeans	Roadster Women Blue Slim Fit Mid-Rise Clean Look Light Fade Jeans With Waist Bag	unknown	back2school	mid-season
103736	https://pacific.bloomreach.com/apparel/products/103736___103736	TRUE	22.99	female	Olive	SASSAFRAS	Cotton	Harmony	Casual	women>pants|women>jeans	SASSAFRAS Woman Lovely Olive High-Rise Straight Fit Jeans	ok	mothersday	mid-season	TRUE	22.99	female	Olive	SASSAFRAS	Cotton	Harmony	Casual	women>pants|women>jeans	SASSAFRAS Woman Lovely Olive High-Rise Straight Fit Jeans	ok	mothersday	mid-season
103737	https://pacific.bloomreach.com/apparel/products/103737___103737	TRUE	27.99	female	Grey	FOREVER 21	Cotton	Harmony	Casual	women>pants|women>jeans	FOREVER 21 Women Grey Mildly Cotton Distressed Jeans	unknown	mothersday	mid-season	TRUE	27.99	female	Grey	FOREVER 21	Cotton	Harmony	Casual	women>pants|women>jeans	FOREVER 21 Women Grey Mildly Cotton Distressed Jeans	unknown	mothersday	mid-season
103738	https://pacific.bloomreach.com/apparel/products/103738___103738	TRUE	37.91	female	Grey	ZOLA	Cotton	Harmony	Casual	women>pants|women>jeans	ZOLA Grey Bootcut Jeans	unknown	blackfriday	summer	TRUE	37.91	female	Grey	ZOLA	Cotton	Harmony	Casual	women>pants|women>jeans	ZOLA Grey Bootcut Jeans	unknown	blackfriday	summer
103739	https://pacific.bloomreach.com/apparel/products/103739___103739	FALSE	22.99	female	Blue	Pacific 25	Cotton	Harmony	Casual	women>pants|women>jeans	plusS Women Blue Regular Fit Light Fade Stretchable Jeans	OOS	christmas	summer	FALSE	22.99	female	Blue	plusS	Cotton	Harmony	Casual	women>pants|women>jeans	plusS Women Blue Regular Fit Light Fade Stretchable Jeans	OOS	christmas	summer
103740	https://pacific.bloomreach.com/apparel/products/103740___103740	TRUE	45.9	female	Blue	MANGO	Cotton		Casual	women>pants|women>jeans	MANGO Women Blue Embroidered Pure Cotton Straight Fit High-Rise Stretchable Jeans	high	blackfriday	mid-season	TRUE	45.9	female	Blue	MANGO	Cotton		Casual	women>pants|women>jeans	MANGO Women Blue Embroidered Pure Cotton Straight Fit High-Rise Stretchable Jeans	high	blackfriday	mid-season
103741	https://pacific.bloomreach.com/apparel/products/103741___103741	TRUE	22.99	female	White	High Star	Cotton			women>pants|women>jeans	High Star Women White Slim Fit High-Rise Clean Look Stretchable Jeans	high	christmas	summer	TRUE	22.99	female	White	High Star	Cotton			women>pants|women>jeans	High Star Women White Slim Fit High-Rise Clean Look Stretchable Jeans	high	christmas	summer
103742	https://pacific.bloomreach.com/apparel/products/103742___103742	TRUE	21.99	female	Grey	Roadster	Cotton			women>pants|women>jeans	The Roadster Lifestyle Co Women Grey Slim Fit Mid-Rise Clean Look Stretchable Jeans	ok	christmas	mid-season	TRUE	21.99	female	Grey	Roadster	Cotton			women>pants|women>jeans	The Roadster Lifestyle Co Women Grey Slim Fit Mid-Rise Clean Look Stretchable Jeans	ok	christmas	mid-season
103743	https://pacific.bloomreach.com/apparel/products/103743___103743	TRUE	27.99	female	Blue	FOREVER 21	Cotton	Harmony	Casual	women>pants|women>jeans	FOREVER 21 Women Blue Heavy Fade Jeans	low	blackfriday	mid-season	TRUE	27.99	female	Blue	FOREVER 21	Cotton	Harmony	Casual	women>pants|women>jeans	FOREVER 21 Women Blue Heavy Fade Jeans	low	blackfriday	mid-season
103745	https://pacific.bloomreach.com/apparel/products/103745___103745	TRUE	21.99	female	Blue	Roadster	Cotton			women>pants|women>jeans	Roadster Women Blue Tapered fit High-Rise Clean Look Stretchable Jeans	high	valentine	mid-season	TRUE	21.99	female	Blue	Roadster	Cotton			women>pants|women>jeans	Roadster Women Blue Tapered fit High-Rise Clean Look Stretchable Jeans	high	valentine	mid-season
103746	https://pacific.bloomreach.com/apparel/products/103746___103746	TRUE	21.99	female	Blue	Pacific 25	Cotton			women>pants|women>jeans	Women Blue Skinny Fit Heavy Fade Stretchable Jeans	ok	mothersday	winter	TRUE	21.99	female	Blue	Pacific 25	Cotton			women>pants|women>jeans	Women Blue Skinny Fit Heavy Fade Stretchable Jeans	ok	mothersday	winter
103747	https://pacific.bloomreach.com/apparel/products/103747___103747	TRUE	30.99	female	Grey	FOREVER 21	Cotton		Casual	women>pants|women>jeans	FOREVER 21 Women Solid Grey Mid-Rise  Jeans	ok	mothersday	summer	TRUE	30.99	female	Grey	FOREVER 21	Cotton		Casual	women>pants|women>jeans	FOREVER 21 Women Solid Grey Mid-Rise  Jeans	ok	mothersday	summer
103748	https://pacific.bloomreach.com/apparel/products/103748___103748	TRUE	31.99	female	Black	Code 61	Cotton			women>pants|women>jeans	Code 61 Women Black Wide Leg High-Rise Stretchable Jeans	ok	blackfriday	winter	TRUE	31.99	female	Black	Code 61	Cotton			women>pants|women>jeans	Code 61 Women Black Wide Leg High-Rise Stretchable Jeans	ok	blackfriday	winter
103749	https://pacific.bloomreach.com/apparel/products/103749___103749	TRUE	37.9	female	Blue	MANGO	Cotton	Harmony	Casual	women>pants|women>jeans	MANGO Women Blue Wide Leg Pure Cotton Low-Rise Jeans	low	mothersday	winter	TRUE	37.9	female	Blue	MANGO	Cotton	Harmony	Casual	women>pants|women>jeans	MANGO Women Blue Wide Leg Pure Cotton Low-Rise Jeans	low	mothersday	winter
103750	https://pacific.bloomreach.com/apparel/products/103750___103750	TRUE	37.11	female	Mustard	FREAKINS	Cotton		Casual	women>pants|women>jeans	FREAKINS Women Mustard Tapered Fit High-Rise Low Distress Jeans	low	mothersday	summer	TRUE	37.11	female	Mustard	FREAKINS	Cotton		Casual	women>pants|women>jeans	FREAKINS Women Mustard Tapered Fit High-Rise Low Distress Jeans	low	mothersday	summer
103751	https://pacific.bloomreach.com/apparel/products/103751___103751	TRUE	22.99	female	Grey	High Star	Cotton			women>pants|women>jeans	High Star Women Grey Slim Fit Mid-Rise Clean Look Stretchable Jeans	ok	back2school	mid-season	TRUE	22.99	female	Grey	High Star	Cotton			women>pants|women>jeans	High Star Women Grey Slim Fit Mid-Rise Clean Look Stretchable Jeans	ok	back2school	mid-season
103752	https://pacific.bloomreach.com/apparel/products/103752___103752	TRUE	34.11	female	Black	MONTREZ			Casual	women>pants|women>jeans	MONTREZ Women Black Jogger High-Rise Jeans	low	none	mid-season	TRUE	34.11	female	Black	MONTREZ			Casual	women>pants|women>jeans	MONTREZ Women Black Jogger High-Rise Jeans	low	none	mid-season
103753	https://pacific.bloomreach.com/apparel/products/103753___103753	TRUE	23.99	female	Black	Roadster	Cotton	Harmony	Casual	women>pants|women>jeans	Roadster Women Black Boyfriend Fit Light Fade Stretchable Jeans	unknown	blackfriday	summer	TRUE	23.99	female	Black	Roadster	Cotton	Harmony	Casual	women>pants|women>jeans	Roadster Women Black Boyfriend Fit Light Fade Stretchable Jeans	unknown	blackfriday	summer
103754	https://pacific.bloomreach.com/apparel/products/103754___103754	TRUE	32.99	female	Blue	Pacific 25	Cotton		Casual	women>pants|women>jeans	Women Blue Flared High-Rise Low Distress Heavy Fade Jeans	ok	back2school	winter	TRUE	32.99	female	Blue	Pacific 25	Cotton		Casual	women>pants|women>jeans	Women Blue Flared High-Rise Low Distress Heavy Fade Jeans	ok	back2school	winter
103755	https://pacific.bloomreach.com/apparel/products/103755___103755	TRUE	20.98	female	Pink	Harvard	Cotton			women>pants|women>jeans	Harvard Women Pink Skinny Fit Stretchable Jeans	ok	back2school	winter	TRUE	20.98	female	Pink	Harvard	Cotton			women>pants|women>jeans	Harvard Women Pink Skinny Fit Stretchable Jeans	ok	back2school	winter
103756	https://pacific.bloomreach.com/apparel/products/103756___103756	FALSE	19.99	female	Off White	Mast & Harbour	Cotton	Harmony	Casual	women>pants|women>jeans	Mast & Harbour Women Off-White Skinny Fit Mid-Rise Stretchable Jeans	OOS	blackfriday	mid-season	FALSE	19.99	female	Off White	Mast & Harbour	Cotton	Harmony	Casual	women>pants|women>jeans	Mast & Harbour Women Off-White Skinny Fit Mid-Rise Stretchable Jeans	OOS	blackfriday	mid-season
103757	https://pacific.bloomreach.com/apparel/products/103757___103757	TRUE	32.11	female	White	People	Cotton		Casual	women>pants|women>jeans	People Women White Tapered Fit Jeans	ok	back2school	winter	TRUE	32.11	female	White	People	Cotton		Casual	women>pants|women>jeans	People Women White Tapered Fit Jeans	ok	back2school	winter
103758	https://pacific.bloomreach.com/apparel/products/103758___103758	TRUE	22.99	female	Blue	Miss Chase	Cotton			women>pants|women>jeans	Miss Chase Women Blue Slim Fit High-Rise Clean Look Jeans	ok	blackfriday	summer	TRUE	22.99	female	Blue	Miss Chase	Cotton			women>pants|women>jeans	Miss Chase Women Blue Slim Fit High-Rise Clean Look Jeans	ok	blackfriday	summer
103759	https://pacific.bloomreach.com/apparel/products/103759___103759	TRUE	21.99	female	Blue	Moda Rapido	Cotton	Harmony	Casual	women>pants|women>jeans	Moda Rapido Women Blue Solid Wide Leg Stretchable Casual Jeans	ok	mothersday	mid-season	TRUE	21.99	female	Blue	Moda Rapido	Cotton	Harmony	Casual	women>pants|women>jeans	Moda Rapido Women Blue Solid Wide Leg Stretchable Casual Jeans	ok	mothersday	mid-season
103760	https://pacific.bloomreach.com/apparel/products/103760___103760	TRUE	25.99	female	Charcoal	Roadster	Cotton	Harmony	Casual	women>pants|women>jeans	Roadster Women Charcoal Mid-Rise Straight Fit Jeans	low	back2school	mid-season	TRUE	25.99	female	Charcoal	Roadster	Cotton	Harmony	Casual	women>pants|women>jeans	Roadster Women Charcoal Mid-Rise Straight Fit Jeans	low	back2school	mid-season
103761	https://pacific.bloomreach.com/apparel/products/103761___103761	TRUE	38.11	female	Blue	ether	Cotton			women>pants|women>jeans	ether Women Blue Skinny Fit Light Fade Stretchable Jeans	ok	back2school	mid-season	TRUE	38.11	female	Blue	ether	Cotton			women>pants|women>jeans	ether Women Blue Skinny Fit Light Fade Stretchable Jeans	ok	back2school	mid-season
103762	https://pacific.bloomreach.com/apparel/products/103762___103762	TRUE	31.11	female	Blue	People	Cotton			women>pants|women>jeans	People Women Blue Skinny Fit Jeans	low	back2school	summer	TRUE	31.11	female	Blue	People	Cotton			women>pants|women>jeans	People Women Blue Skinny Fit Jeans	low	back2school	summer
103763	https://pacific.bloomreach.com/apparel/products/103763___103763	TRUE	22.99	female	Black	ZHEIA	Cotton		Casual	women>pants|women>jeans	ZHEIA Women Black High-Rise Jeans	high	none	winter	TRUE	22.99	female	Black	ZHEIA	Cotton		Casual	women>pants|women>jeans	ZHEIA Women Black High-Rise Jeans	high	none	winter
103764	https://pacific.bloomreach.com/apparel/products/103764___103764	TRUE	21.99	female	Blue	SASSAFRAS	Cotton	Radiance	Casual	women>pants|women>jeans	SASSAFRAS Women Stunning Blue High-Rise Regular Fit Jeans	low	easter	mid-season	TRUE	21.99	female	Blue	SASSAFRAS	Cotton	Radiance	Casual	women>pants|women>jeans	SASSAFRAS Women Stunning Blue High-Rise Regular Fit Jeans	low	easter	mid-season
103765	https://pacific.bloomreach.com/apparel/products/103765___103765	TRUE	36.11	female	Blue	Harvard	Cotton			women>pants|women>jeans	Harvard Women Blue Wide Leg Light Fade Stretchable Jeans	ok	mothersday	mid-season	TRUE	36.11	female	Blue	Harvard	Cotton			women>pants|women>jeans	Harvard Women Blue Wide Leg Light Fade Stretchable Jeans	ok	mothersday	mid-season
103766	https://pacific.bloomreach.com/apparel/products/103766___103766	TRUE	29.85	female	Blue	ZOLA	Cotton	Harmony	Casual	women>pants|women>jeans	ZOLA Women Blue Slim Fit Jeans	unknown	blackfriday	mid-season	TRUE	29.85	female	Blue	ZOLA	Cotton	Harmony	Casual	women>pants|women>jeans	ZOLA Women Blue Slim Fit Jeans	unknown	blackfriday	mid-season
