crumbs	crumbs_de	demo site navbar	demo site dropdown	crumbs_id	availability	price	url	pid	title_old	title_de	description_old	description_de	brand	thumb_image	sale_price	manufacturer	catalog_number	master_upc	application_old	application_de	color_old	color_de	height	length	material_old	material_de	size_old	size_de	voltage_rating	weight_old	weight_de	width	type_old	type_de
Tools & Instruments|Hand Tools|Schraubenschlüssel es & Sockets|Schraubenschlüssel es|Adjustable Schraubenschlüssel es	Werkzeuge & Instrumente|Handwerkzeuge|Schraubenschlüssel & Steckschlüssel|Schraubenschlüssel|Rollgabelschlüssel	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250881000000|PNB250881030000|PNB250881030100	in stock	12.92	https://pacificsupply.bloomreach.com/products/347395	347395	Klein 507-10 10-IN Adjustable Schraubenschlüssel 	Klein 507-10 10-cm Verstellbarer Schraubenschlüssel	Klein 507-10 10 Adjustable Schraubenschlüssel 	Klein 507-10 10 Verstellbarer Schraubenschlüssel	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_347395.jpg	8.14	Klein Tools	507-10	9264467530						10,125 cm	Alloy Steel	Legierter Stahl				1	0.454		Adjustable Schraubenschlüssel es - High Capacity	Schraubenschlussel - High Capacity
Tools & Instruments|Hand Tools|Schraubenschlüssel es & Sockets|Schraubenschlüssel es|Adjustable Schraubenschlüssel es	Werkzeuge & Instrumente|Handwerkzeuge|Schraubenschlüssel & Steckschlüssel|Schraubenschlüssel|Rollgabelschlüssel	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250881000000|PNB250881030000|PNB250881030100	in stock	7.39	https://pacificsupply.bloomreach.com/products/347303	347303	Klein 507-8 8-IN Adjustable Schraubenschlüssel 	Klein 507-8 8-cm Verstellbarer Schraubenschlüssel	Klein 507-8 8 Adjustable Schraubenschlüssel 	Klein 507-8 8 Verstellbarer Schraubenschlüssel	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_347303.jpg	4.65	Klein Tools	507-8	9264467527						8,125 cm	Alloy Steel	Legierter Stahl				0.617	0.280		Adjustable Schraubenschlüssel es - High Capacity	Schraubenschlussel - High Capacity
Tools & Instruments|Hand Tools|Schraubenschlüssel es & Sockets|Schraubenschlüssel es|Adjustable Schraubenschlüssel es	Werkzeuge & Instrumente|Handwerkzeuge|Schraubenschlüssel & Steckschlüssel|Schraubenschlüssel|Rollgabelschlüssel	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250881000000|PNB250881030000|PNB250881030100	in stock	6.61	https://pacificsupply.bloomreach.com/products/347487	347487	Klein 507-12 12-IN Adjustable Schraubenschlüssel 	Klein 507-12 12-cm Verstellbarer Schraubenschlüssel	Klein 507-12 12 Adjustable Schraubenschlüssel 	Klein 507-12 12 Verstellbarer Schraubenschlüssel	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_347487.jpg	4.16	Klein Tools	507-12	9264467533						12,25 cm	Alloy Steel	Legierter Stahl				1.65	0.748		Adjustable Schraubenschlüssel es - High Capacity	Schraubenschlussel - High Capacity
Tools & Instruments|Hand Tools|Schraubenschlüssel es & Sockets|Schraubenschlüssel es|Adjustable Schraubenschlüssel es	Werkzeuge & Instrumente|Handwerkzeuge|Schraubenschlüssel & Steckschlüssel|Schraubenschlüssel|Rollgabelschlüssel	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250881000000|PNB250881030000|PNB250881030100	in stock	13.12	https://pacificsupply.bloomreach.com/products/21615	21615	Klein D506-4 Adjustable Schraubenschlüssel  4 Dipped	Klein D506-4 Verstellbarer Schraubenschlüssel 4 getauchte	Klein D506-4 4 Adjustable Schraubenschlüssel , Plastic Dipped	Klein D506-4 4 Verstellbarer Schraubenschlüssel, Kunststoff getauchte	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_21615.jpg	8.27	Klein Tools	D506-4	9264467501	Precision-machined jaws are individually chosen and assembled by hand for smooth operation	Präzisionsbearbeitete Backen sind individuell ausgewählt und montiert mit der Hand für einen reibungslosen Betrieb				4,5 cm						0.13	0.059		Dovetail Handle	Schwalbenschwanz Griff
Tools & Instruments|Hand Tools|Schraubenschlüssel es & Sockets|Schraubenschlüssel es|Open-End Schraubenschlüssel es	Werkzeuge & Instrumente|Handwerkzeuge|Schraubenschlüssel & Steckschlüssel|Schraubenschlüssel|Gabelschlüssel	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250881000000|PNB250881030000|PNB250881031400	in stock	10.02	https://pacificsupply.bloomreach.com/products/4772376	4772376	Klein 68452 7 Piece Open-End Schraubenschlüssel 	Klein 68452 7 Stück Gabelschlüssel	Klein 68452 7pc Open-End Schraubenschlüssel  Set	Klein 68452 7pc Open-End-Schlüssel-Satz	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4772376.jpg	6.31	Klein Tools	68452	9264468051							Highest quality alloy-steel	Höchste Qualität legiertem Stahl				2.72	1.234		Open-Ended Schraubenschlüssel  Sets	Gabelschlüssel-Sets
Tools & Instruments|Hand Tools|Schraubedrivers|Schraubedriver Sets	Werkzeuge & Instrumente|Handwerkzeuge|Schraubendreher|Schraubendrehersatz	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250864000000|PNB250864180000	in stock	10.29	https://pacificsupply.bloomreach.com/products/4221666	4221666	Greenlee 0153-02C 7-piece Schraubedriver	Greenlee 0153-02C 7 eiligen Schraubendreher	Greenlee 0153-02C 7-piece Schraubedriver Set	Greenlee 0153-02C 7-teilig Schraubendrehersatz	Greenlee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4221666.jpg	6.48	Greenlee	0153-02C	78331054661												1.8	0.816			
Tools & Instruments|Hand Tools|Schraubedrivers|Schraubedriver Sets	Werkzeuge & Instrumente|Handwerkzeuge|Schraubendreher|Schraubendrehersatz	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250864000000|PNB250864180000	in stock	9.57	https://pacificsupply.bloomreach.com/products/4350603	4350603	Greenlee 0153-01C 5-piece Schraubedriver	Greenlee 0153-01C 5-teilig Schraubendreher	Greenlee 0153-01C 5-piece Schraubedriver Set	Greenlee 0153-01C 5-teilig Schraubendrehersatz	Greenlee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4350603.jpg	6.03	Greenlee	0153-01C	78331056303												1.7	0.771			
Tools & Instruments|Hand Tools|Schraubedrivers|Schraubedriver Sets	Werkzeuge & Instrumente|Handwerkzeuge|Schraubendreher|Schraubendrehersatz	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250864000000|PNB250864180000	in stock	6.38	https://pacificsupply.bloomreach.com/products/3978199	3978199	Klein 32510 Magnetic Schraubedriver	Klein 32510 magnetischer Schraubenzieher	Klein 32510 Magnetic Schraubedriver with 32-Piece Tamperproof Bit Set	Klein 32510 Magnetic Schraubendreher mit 32-teiliges Tamperproof Bit Set	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3978199.jpg	4.02	Klein Tools	32510	9264432510												0.85	0.386		Tamperproof	Manipulationssicher
Tools & Instruments|Hand Tools|Schraubedrivers|Schraubedriver Sets	Werkzeuge & Instrumente|Handwerkzeuge|Schraubendreher|Schraubendrehersatz	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250864000000|PNB250864180000	in stock	13.36	https://pacificsupply.bloomreach.com/products/3661553	3661553	Klein 85078 8 PC Schraubedriver Set	Klein 85078 8 PC-Schraubendreher-Set	Klein 85078 8pc Schraubedriver Set, Multi-Application	Klein 85078 8pc Schraubendreher-Satz, Multi-Anwendung	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3661553.jpg	8.41	Klein Tools	85078	9264485078	Assorted Schraubedriver set	Verschiedene Schraubendreher-Satz										1.9	0.862		Cushion-Grip Schraubedriver Sets	Cushion-Grip Schraubendreher-Sätze
Tools & Instruments|Hand Tools|Schraubedrivers|Schraubedriver Sets	Werkzeuge & Instrumente|Handwerkzeuge|Schraubendreher|Schraubendrehersatz	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250864000000|PNB250864180000	in stock	14.87	https://pacificsupply.bloomreach.com/products/4373000	4373000	Klein 85614 Electronic Schraubedriver	Klein 85614 Elektronik-Schrauber	Klein 85614 5-Piece Electronics Schraubedriver Set	Klein 85614 5-teiliges Elektronik-Schraubendreher-Set	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4373000.jpg	9.37	Klein Tools	85614	9264485425	5 Piece Electronics Schraubedriver set	5 Stück Elektronik-Schraubendreher-Set										0.94	0.426		Electronics	Elektronik
Tools & Instruments|Hand Tools|Schraubedrivers|Schraubedriver Sets	Werkzeuge & Instrumente|Handwerkzeuge|Schraubendreher|Schraubendrehersatz	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250864000000|PNB250864180000	in stock	12.19	https://pacificsupply.bloomreach.com/products/3928332	3928332	Klein 85074 6 PC Schraubedriver Set	Klein 85074 6 PC-Schraubendreher-Set	Klein 85074 6pc Schraubedriver Set, Slotted & Phillips	Klein 85074 6pc-Schraubendreher-Set, geschlitzt & Phillips	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3928332.jpg	7.68	Klein Tools	85074	9264485074	Keystone, Phillips and Cabinet Schraubes	Keystone, Phillips und Gehäuseschrauben	Black Handle	schwarzer Griff								1.71	0.776			
Tools & Instruments|Hand Tools|Schraubedrivers|Schraubedriver Sets	Werkzeuge & Instrumente|Handwerkzeuge|Schraubendreher|Schraubendrehersatz	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250864000000|PNB250864180000	in stock	5.61	https://pacificsupply.bloomreach.com/products/362431	362431	Klein 85075 5-PC Schraubedriver Set	Klein 85075 5-PC-Schraubendreher-Set	Klein 85075 5pc Schraubedriver Set, Slotted & Phillips	Klein 85075 5pc-Schraubendreher-Set, geschlitzt & Phillips	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_362431.jpg	3.53	Klein Tools	85075	9264485075	Keystone, Phillips and Cabinet Schraubes	Keystone, Phillips und Gehäuseschrauben	Black Handle	schwarzer Griff								1.45	0.658			
Tools & Instruments|Hand Tools|Schraubedrivers|Schraubedriver Sets	Werkzeuge & Instrumente|Handwerkzeuge|Schraubendreher|Schraubendrehersatz	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250864000000|PNB250864180000	in stock	11.21	https://pacificsupply.bloomreach.com/products/4810238	4810238	Ideal 35-1298 Schraubedriver	Ideal 35-1298 Schraubendreher	Ideal Industries 35-1298 7-Piece Cushioned Grip Schraubedriver Set	Ideal Industries 35-1298 7-teiliges Cushioned Grip-Schraubendreher-Set	Ideal	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4810238.jpg	7.06	Ideal Industries	35-1298	78325069947												1.9	0.862		Schraubedriver Set	Schraubenzieher set
Tools & Instruments|Hand Tools|Schraubedrivers|Schraubedriver Sets	Werkzeuge & Instrumente|Handwerkzeuge|Schraubendreher|Schraubendrehersatz	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250864000000|PNB250864180000	in stock	8.8	https://pacificsupply.bloomreach.com/products/4548375	4548375	Greenlee 0153-03C Schraubedriver Mini 4 Pc	Greenlee 0153-03C Schraubendreher Mini 4 Pc	Greenlee 0153-03C Schraubedriver Mini 4 Pc	Greenlee 0153-03C Schraubendreher Mini 4 Pc	Greenlee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4548375.jpg	5.54	Greenlee	0153-03C	78331013438												0.25	0.113		Mini	Mini
Tools & Instruments|Hand Tools|Schraubedrivers|Schraubedriver Sets	Werkzeuge & Instrumente|Handwerkzeuge|Schraubendreher|Schraubendrehersatz	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250864000000|PNB250864180000	in stock	5.68	https://pacificsupply.bloomreach.com/products/4758160	4758160	Klein 32290 Multi-Bit Schraubedriver	Klein 32290 Multi-Bit-Schraubendreher	Klein 32290 Multi-Bit Schraubedriver with Storage, 15pc	Klein 32290 Multi-Bit-Schraubendreher mit Storage, 15pc	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4758160.jpg	3.58	Klein Tools	32290	9264432290			Black Handle	schwarzer Griff								0.51	0.231		Standard	Standard
Tools & Instruments|Hand Tools|Schraubedrivers|Phillips Schraubedriver	Werkzeuge & Instrumente|Handwerkzeuge|Schraubendreher|Kreuzschlitzschraubenzieher	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250864000000|PNB250864110000	in stock	11.32	https://pacificsupply.bloomreach.com/products/21495	21495	Klein 682-6 #2 PhilliPass & Seymour Schraubedriver	Klein 682-6 # 2 PhilliPass & Seymour Schraubendreher	Klein 682-6 #2 Phillips Rapi-Driv&#174; Schraubedriver - 6 Shank	Klein 682-6 # 2 Phillips Rapi-Driv & # 174; Schraubendreher - 6 Shank	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_21495.jpg	7.13	Klein Tools	682-6	9264485184												0.24	0.109		Phillips Schraubedrivers - Rapi-Driv	Phillips-Schraubendreher - Rapi-Driv
Tools & Instruments|Hand Tools|Hammers|Double Faced Hammer	Werkzeuge & Instrumente|Handwerkzeuge|Hämmer|Doppelseitigen Hämmer	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250820000000|PNB250820090000	in stock	10.5	https://pacificsupply.bloomreach.com/products/361180	361180	Klein 809-36 36 oz Linemans Hammer	Klein 809-36 36 Unzen Linemans Hammer	Klein 809-36 36oz Lineman's Double-Face Hammer	Klein 809-36 36 Unzen Lineman Double-Face-Hammer	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_361180.jpg	6.61	Klein Tools	809-36	9264481606	Linemans double face hammer - rugged and well balanced, with the weight to drive lag Bolzens	Linemans Doppelhammer - robust und gut ausgewogen, wobei die Gewichtsankerschrauben fahren										3	1.361		Lineman's Hammers	Lineman der Hämmer
Tools & Instruments|Hand Tools|Hammers|Claw Hammers	Werkzeuge & Instrumente|Handwerkzeuge|Hämmer|Klauenhammer	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250820000000|PNB250820060000	in stock	11.81	https://pacificsupply.bloomreach.com/products/360898	360898	Klein 832-32 32 oz Linemans Hammer	Klein 832-32 32 Unzen Hammer Linemans	Klein 832-32 32oz Lineman's Straight-Claw Hammer	Klein 832-32 32 Unzen Lineman-gerade-Claw Hammer	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_360898.jpg	7.44	Klein Tools	832-32	9264481051	Lineman's straight claw hammer - octogon shaped driving end and thick strong claw	Lineman der geraden Klauenhammer - octogon förmige Antriebsende und dicke starke Klaue										2.4	1.089		Straight-Claw Hammers	Gerade Klaue Hammers
Tools & Instruments|Hand Tools|Hammers|Claw Hammers	Werkzeuge & Instrumente|Handwerkzeuge|Hämmer|Klauenhammer	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250820000000|PNB250820060000	in stock	7.46	https://pacificsupply.bloomreach.com/products/360808	360808	Klein 808-20 20 oz Straight Claw Hammer	Klein 808-20 20 Unzen Gerade Klauenhammer	Klein 808-20 20oz Straight-Claw Hammer, Heavy Duty	Klein 808-20 20 Unzen Gerade Claw Hammer, Heavy Duty	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_360808.jpg	4.7	Klein Tools	808-20	9264481009	Straight claw hammer - heavy duty - easy nail pulling in tight quarters	Gerade Klauenhammer - schwere - leicht Nagel in engen ziehen										1.88	0.853		Straight-Claw Hammers	Gerade Klaue Hammers
Tools & Instruments|Hand Tools|Hammers|Claw Hammers	Werkzeuge & Instrumente|Handwerkzeuge|Hämmer|Klauenhammer	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250820000000|PNB250820060000	in stock	6.79	https://pacificsupply.bloomreach.com/products/21546	21546	Klein 808-16 16 oz Hammer	Klein 808-16 16 Unzen Hammer	Klein 808-16 16oz Straight-Claw Hammer, Heavy Duty	Klein 808-16 16 Unzen Gerade Claw Hammer, Heavy Duty	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_21546.jpg	4.28	Klein Tools	808-16	9264481008	Straight claw hammer - heavy duty - easy nail pulling in tight quarters	Gerade Klauenhammer - schwere - leicht Nagel in engen ziehen										1.72	0.780		Straight-Claw Hammers	Gerade Klaue Hammers
Tools & Instruments|Hand Tools|Hammers|Claw Hammers	Werkzeuge & Instrumente|Handwerkzeuge|Hämmer|Klauenhammer	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250820000000|PNB250820060000	in stock	9.16	https://pacificsupply.bloomreach.com/products/21545	21545	Klein 807-18 18oz Electrician's	Klein 807-18 18 Unzen des Elektriker	Klein 807-18 Electrician's Straight-Claw Hammer	Klein 807-18 Elektriker-gerade-Klauenhammer	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_21545.jpg	5.77	Klein Tools	807-18	9264481004	Electricians straight claw hammer - balanced and designed specifically for use in electrical work	Elektriker gerade Klauenhammer - ausgewogen und speziell für den Einsatz in elektrischen Arbeiten konzipiert										1.9	0.862		Straight-Claw Hammers	Gerade Klaue Hammers
Tools & Instruments|Hand Tools|Hammers|Hammer Accessories	Werkzeuge & Instrumente|Handwerkzeuge|Hämmer|Zubehör	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250820000000|PNB250820120000	in stock	10.4	https://pacificsupply.bloomreach.com/products/4653024	4653024	Dewalt DW5517PAD Pin Anchor Drive	Dewalt DW5517PAD Pin Anker Antrieb	Stanley Black & Decker DW5517PAD Pin Anchor Drive Sleeve	Stanley Black & Decker DW5517PAD Pin Anker Antriebshülse	DEWALT	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4653024.jpg	6.55	Stanley Black & Decker	DW5517PAD	88591124570												0.82	0.372			
Tools & Instruments|Hand Tools|Hammers|Claw Hammers	Werkzeuge & Instrumente|Handwerkzeuge|Hämmer|Klauenhammer	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250820000000|PNB250820060000	in stock	12.78	https://pacificsupply.bloomreach.com/products/4774337	4774337	Klein 809-36MF Lineman's	Klein 809-36MF Lineman ist	Klein 809-36MF Lineman's Milled-Face Hammer	Klein 809-36MF Lineman der Fräst-Face-Hammer	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4774337.jpg	8.05	Klein Tools	809-36MF	9264481000													0.000			
Tools & Instruments|Hand Tools|Hammers|Claw Hammers	Werkzeuge & Instrumente|Handwerkzeuge|Hämmer|Klauenhammer	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250820000000|PNB250820060000	in stock	6.46	https://pacificsupply.bloomreach.com/products/4896377	4896377	Dewalt DWHT51048 DWT 16oz 1 piece Steel	Dewalt DWHT51048 DWT 16 Unzen 1 Stück Stahl	Dewalt DWHT51048 16 Oz 1 Piece Steel Rip Claw Hammer	Dewalt DWHT51048 16 Oz 1 Stück Stahl Rip Claw Hammer	DEWALT	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4896377.jpg	4.07	Stanley Black & Decker	DWHT51048	7617451048												1.765	0.801			
Tools & Instruments|Hand Tools|Schraubenschlüssel es & Sockets|Schraubenschlüssel es|Ratche Schraubenschlüssel es	Werkzeuge & Instrumente|Handwerkzeuge|Schraubenschlüssel & Steckschlüssel|Schraubenschlüssel|Ratschenschlüssel	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250881000000|PNB250881030000|PNB250881031700	in stock	9.67	https://pacificsupply.bloomreach.com/products/349295	349295	Klein 68245 5-PC Rev Ratche Set	Klein 68245 5-PC Rev Ratchen Set	Klein 68245 5pc Reversible Ratcheing Box Schraubenschlüssel  Set	Klein 68245 5pc umschaltbaren Ratschen-Box Schraubenschlüssel  Set	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_349295.jpg	6.09	Klein Tools	68245	9264468245	Reverse Ratcheing action by simply turning Schraubenschlüssel  over	Rückwärts-Ratschen-Aktion durch einfaches Überdrehen										1.9	0.862		Ratcheing Offset Box Schraubenschlüssel es	Ratschen-Offset Box Schraubenschlüssel es
Tools & Instruments|Hand Tools|Schraubenschlüssel es & Sockets|Schraubenschlüssel es|Ratche Schraubenschlüssel es	Werkzeuge & Instrumente|Handwerkzeuge|Schraubenschlüssel & Steckschlüssel|Schraubenschlüssel|Ratschenschlüssel	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250881000000|PNB250881030000|PNB250881031700	in stock	12.1	https://pacificsupply.bloomreach.com/products/4528080	4528080	Greenlee 20495 Schraubenschlüssel  Ratche	Greenlee 20495 Schraubenschlüssel Ratche	Greenlee 20495 Schraubenschlüssel  Ratche	Greenlee 20495 Schraubenschlüssel Ratche	Greenlee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4528080.jpg	7.62	Greenlee	20495	78331020495												2.2	0.998			
Tools & Instruments|Hand Tools|Schraubenschlüssel es & Sockets|Schraubenschlüssel es|Schraubenschlüssel  Sets	Werkzeuge & Instrumente|Handwerkzeuge|Schraubenschlüssel & Steckschlüssel|Schraubenschlüssel|Schraubenschlüsselsatz	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250881000000|PNB250881030000|PNB250881032800	in stock	5.93	https://pacificsupply.bloomreach.com/products/349088	349088	Klein 68222 7-PC Boxend Ratche	Klein 68222 7-PC Boxend Ratche	Klein 68222 7pc Ratcheing Box Schraubenschlüssel  Set	Klein 68222 7pc Ratschen Box Schraubenschlüssel  Set	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_349088.jpg	3.74	Klein Tools	68222	9264468222	Schraubenschlüssel es flip over to reverse Ratche	Schraubenschlüssel umdrehen, um Rücklaufsperre					Steel	Stahl				2.76	1.252		Ratcheing Box Schraubenschlüssel es - Standard	Ratschen-Ringschlüssel - Standard
Tools & Instruments|Hand Tools|Schraubenschlüssel es & Sockets|Schraubenschlüssel es|Schraubenschlüssel  Sets	Werkzeuge & Instrumente|Handwerkzeuge|Schraubenschlüssel & Steckschlüssel|Schraubenschlüssel|Schraubenschlüsselsatz	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250881000000|PNB250881030000|PNB250881032800	in stock	8.52	https://pacificsupply.bloomreach.com/products/21497	21497	Klein 68244 3PC Schraubenschlüssel  Set Ratche	Klein 68244 3pc Schraubenschlüssel  Set Ratche	Klein 68244 3pc Reversible Ratcheing Box Schraubenschlüssel  Set	Klein 68244 3pc umschaltbaren Ratschen-Box Schraubenschlüssel  Set	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_21497.jpg	5.37	Klein Tools	68244	9264468244	There are different size single-hex openings on each end of the Schraubenschlüssel es	Es gibt unterschiedliche Größe Einzel hex Öffnungen an jedem Ende des Schraubenschlüssels					Steel	Stahl				0.85	0.386		Ratcheing Offset Box Schraubenschlüssel es	Ratschen-Offset Box Schraubenschlüssel es
Tools & Instruments|Hand Tools|Strippers, Cutters, & Crimpers|Kabel & Bolzen Cutters	Werkzeuge & Instrumente|Handwerkzeuge|Abisolierzange, Drahtschneider & Kabelschuhzange|Bolzenschneider	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250866000000|PNB250866020000	in stock	12.38	https://pacificsupply.bloomreach.com/products/4375808	4375808	HPS C4031384 Wirecutter, Ratche 8'	HPS C4031384 Drahtschneider, Ratsche 8 m	Hubbell Power C4031384 8 Foot 556 kcmil Steel Shear Blade Ratche Kabel Cutter	Hubbell Leistung C4031384 8 m 556 kcmil Stahlschere Klingen Ratche Kabelschneider	CHANCE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4375808.jpg	7.8	Hubbell Power Systems	C4031384	9635901907												16	7.257		Ratche Kabel Cutter	Ratche Kabelschneider
Tools & Instruments|Hand Tools|Strippers, Cutters, & Crimpers|Wire Crimpers	Werkzeuge & Instrumente|Handwerkzeuge|Abisolierzange, Drahtschneider & Kabelschuhzange|Kabelschuhzange	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250866000000|PNB250866100000	in stock	5.58	https://pacificsupply.bloomreach.com/products/3939913	3939913	T&B WT2130A Hand Ratche Tool	T & B WT2130A Handratsche Werkzeug	Thomas & Betts WT2130A Ratche Hand Tool	Thomas & Betts WT2130A Ratschenhandwerkzeug	Sta-Kon	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3939913	3.52	ABB Installation Products	WT2130A	78621079637	Crimping terminals/splices/disconnects.	Quetschanschlüsse / Spleiße / trennt.										1.37	0.621		Manual Crimp Tool	Manuelles Crimpwerkzeug
Tools & Instruments|Hand Tools|Pliers|Crimping Pliers	Werkzeuge & Instrumente|Handwerkzeuge|Zange|Crimpzange	Tools	Hand Tools	PNB250000000000|PNB250800000000|PNB250855000000|PNB250855040000	in stock	13.86	https://pacificsupply.bloomreach.com/products/4797496	4797496	ILSCO ILST-22K Hand Die Ratche	ILSCO ILST-22K Hand Die Ratsche	ILSCO ILST-22K Crimping Tool Kit	ILSCO ILST-22K Crimping Tool Kit	ILSCO	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4797496.jpg	8.73	ILSCO	ILST-22K	78366999874												2.581	1.171			
Tools & Instruments|Fish Tapes & Conduit Tools|Fish Tapes	Werkzeuge & Instrumente|Strippenzieher & Isolierwerkzeug|Strippenzieher	Tools	Wire Pulling & Conduit Tools	PNB250000000000|PNB250700000000|PNB250706000000	in stock	12.79	https://pacificsupply.bloomreach.com/products/4311054	4311054	Ideal 31-552 Fish Tape Ideal 60.000	Ideal 31-552 Kabeleinziehband Ideal 60,000	Ideal 31-552 Replacement Volt-Guard&#8482; Fish Tape (Fiberglass), 60', Eyelet End	Ideal 31-552 Ersatz-Volt-Guard & # 8482; Kabeleinziehband (Fiberglas), 60 m , Eyelet End	IDEAL	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4311054.jpg	8.06	Ideal Industries	31-552	78325047521	For Wire Pulling	Für Drahtziehen				60 m	Fiberglass	Fiberglass				0.088	0.040	0,1875 cm	Round, Ball, Eyelet	Runde, Ball, Eyelet
Wiring Devices & Wallplates|Schalteres|Wall Schalteres|Dekorativer Schalteres	Verkabelung & Wandplatten|Schalteres|Wandschalter|Dekorativer Schalteres	Wiring Devices		PNB240000000000|PNB240700000000|PNB240703000000|PNB240703010000	in stock	10.24	https://pacificsupply.bloomreach.com/products/4499518	4499518	Pass & Seymour TM873-WSL Decor Schalter 3W 15A	Pass & Seymour TM873-WSL-Dekor-Schalter 3W 15A	Pass & Seymour TM873-WSL 15 Amp 120 VAC 3-Way White Thermoplastic Schraube Mounting Illuminated Rocker Dekorativer Schalter	Pass & Seymour TM873-WSL 15 Amp 120 V AC 3-Way Weiß Thermoplastisches Schraubmontage Beleuchtet Wipp- Dekorativer Schalter	Legrand-Pass & Seymour	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4499518.jpg	6.45	Legrand-Pass & Seymour	TM873-WSL	78500724556	Residential/Commercial	Wohnen / Gewerbe	White	Weiß			Thermoplastic	Thermoplastisches	5	5	120 V	0.15	0.068		Combination Schalter	Kombischalter
