manufacturer	catalog_number	catalog_number_partialvalue	master_upc	application_en	application	color_en	color	height	length	material_en	material	size_en	size	voltage_rating	weight	type_en	type	availability	url	pid	title_en	title	description_en	description	brand	thumb_image	price	sale_price	category_paths
Klein Tools	258	['258']	9264448010	Rugged, durable design for fitting under/behind insulator.	Robustes, langlebiges Design zur Montage unter/hinter dem Isolator.		 			Aluminum/Bronze	Aluminium/Bronze	1-7/8 in	1-7/8 Zoll		0.4	Individual Hooks and Blocks	Einzelne Haken und Blöcke	TRUE	https://pacific.bloomreach.com/supplyglobal/products/318685___318685	318685	KLEIN 258 5-1/2 ANCHOR HOOK	KLEIN 258 5-1/2 ANKERHAKEN	Klein 258 5-1/2 Anchor Hook	Klein 258 5-1/2 Ankerhaken	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_318685.jpg	12.97	8.17	[[{'id': 'NA_220000000000', 'name': 'Safety Products'}, {'id': 'NA_220900000000', 'name': 'Personal Protective Equipment'}, {'id': 'NA_221100000000', 'name': 'Safety Apparel'}, {'id': 'NA_221109000000', 'name': 'Protection Clothing'}, {'id': 'NA_221109250000', 'name': 'Suspenders'}]]
Klein Tools	259	['259']	9264448011	Prevents twisting and kinking of rope	Verhindert das Verdrehen und Knicken des Seils		 			Aluminum/Bronze	Aluminium/Bronze	6-1/2 in L x 2-1/2 in W	6-1/2 Zoll L x 2-1/2 Zoll B		0.38	Individual Hooks and Blocks	Einzelne Haken und Blöcke	TRUE	https://pacific.bloomreach.com/supplyglobal/products/318717___318717	318717	KLEIN 259 6-1/2 SWIVEL ANCHOR HOOK	KLEIN 259 6-1/2 DREHBARER ANKERHAKEN	Klein 259 6-1/2 Swivel Anchor Hook	Klein 259 6-1/2 Drehankerhaken	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_318717.jpg	8.88	5.59	[[{'id': 'NA_270000000000', 'name': 'Connectors, Marking, & Termination'}, {'id': 'NA_270100000000', 'name': 'Wire Bundling'}, {'id': 'NA_270104000000', 'name': 'Cable Ties'}]]
Woodhead	1533	['153', '1533']	78678870322		 		 				 		 	125 V	1.3	Connector	Anschluss	TRUE	https://pacific.bloomreach.com/supplyglobal/products/31931___31931	31931	WOODH 1533 SUPER SAFEWAY CONNECTOR	WOODH 1533 SUPER SAFEWAY VERBINDER	Molex Incorporated 1533 3-Pole 4-Wire 20 Amp 125 Volt NEMA 5-20R Straight Connector	Molex Incorporated 1533 3-poliger 4-adriger 20-A-125-V-NEMA-5-20R-Geradstecker	Woodhead	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_31931.jpg	9.25	5.83	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120200000000', 'name': 'Control System Connection Devices'}, {'id': 'NA_120203000000', 'name': 'Control System Connection Cables'}]]
Woodhead	15W47	['15W', '15W4', '15W47']	78678871102	For Industrial Applications	Für industrielle Anwendungen	Yellow	Gelb				 		 	125 VAC	1.4	Grounding, Polarized	Erdung, polarisiert	TRUE	https://pacific.bloomreach.com/supplyglobal/products/31936___31936	31936	WOODH 15W47 WATER TIGHT CONNECTOR	WOODH 15W47 WASSERDICHTER VERBINDER	STRAIGHT BLADE CONNECTOR	GERADES BLATTVERBINDER	Woodhead	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_31936.jpg	10.78	6.79	[[{'id': 'NA_150000000000', 'name': 'Electrical Enclosures & Boxes'}, {'id': 'NA_150200000000', 'name': 'Electrical Boxes'}, {'id': 'NA_150201000000', 'name': 'Metallic Boxes'}, {'id': 'NA_150201040000', 'name': 'Floor Boxes'}, {'id': 'NA_150201040600', 'name': 'Replacement Part & Accessories'}]]
Ideal Industries	90-051	['90-', '90-0', '90-05', '90-051']	78325090051		 		 			Plastic	Plastik		 		0.92	Flange Anchor Kit	Flanschanker-Set	TRUE	https://pacific.bloomreach.com/supplyglobal/products/3193634___3193634	3193634	IDEAL 90-051 ANCHOR BIT KIT	IDEAL 90-051 ANKERBIT-SET	IDEAL 90-051 Flange Anchor Kit 201Pc, 6-8-10x7/8 Anchors, 100 Screws & 3/16 Masonry Bit	IDEAL 90-051 Flanschanker-Set, 201-teilig, 6-8-10x7/8-Anker, 100 Schrauben & 3/16-Zoll-Mauerbohrer	IDEAL	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3193634.jpg	9.82	6.19	[[{'id': 'NA_150000000000', 'name': 'Electrical Enclosures & Boxes'}, {'id': 'NA_150200000000', 'name': 'Electrical Boxes'}, {'id': 'NA_150203000000', 'name': 'Weatherproof Boxes'}, {'id': 'NA_150203030000', 'name': 'Weatherproof Box Covers'}]]
Klein Tools	53000	['530', '5300', '53000']	9264453000	General Purpose	Allgemeiner Zweck		 				 		 		3.28	Regular-Point Drill Bits	Normalspitzbohrer	TRUE	https://pacific.bloomreach.com/supplyglobal/products/322961___322961	322961	KLEIN 53000 29-PC DRILL BIT SET	KLEIN 53000 29-teiliges Bohrerset	Klein 53000 29pc Drill Bit Set	Klein 53000 29-teiliges Bohrer-Set	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_322961.jpg	14.34	9.04	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120910000000', 'name': 'Selector Switches'}, {'id': 'NA_120910020000', 'name': '20mm'}, {'id': 'NA_120910020200', 'name': 'Non-Illuminated'}]]
Klein Tools	53001	['530', '5300', '53001']	9264453001	General Purpose	Allgemeiner Zweck		 				 		 		2.06	Regular-Point Drill Bits	Normalspitzbohrer	TRUE	https://pacific.bloomreach.com/supplyglobal/products/322992___322992	322992	KLEIN 53001 15-PC DRILL BIT SET	KLEIN 53001 15-teiliges Bohrer-Set	Klein 53001 15pc Drill Bit Set	Klein 53001 15-teiliges Bohrer-Set	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_322992.jpg	13.4	8.44	[[{'id': 'NA_270000000000', 'name': 'Wire Termination & Marking Supplies'}, {'id': 'NA_270600000000', 'name': 'Small Crimp & Wire Connectors'}, {'id': 'NA_270605000000', 'name': 'Disconnects'}, {'id': 'NA_270605020000', 'name': 'Male Disconnects'}, {'id': 'NA_270605020100', 'name': 'Insulated'}]]
Klein Tools	53104	['531', '5310', '53104']	9264453104		 		 				 		 		0.01	Regular-Point 118� High-Speed Drill Bits	118° Hochgeschwindigkeitsbohrer mit normaler Spitze	TRUE	https://pacific.bloomreach.com/supplyglobal/products/323208___323208	323208	KLEIN 53104 1/8 JOBBER DRILL BIT	KLEIN 53104 1/8 JOBBER-BOHRER	Klein 53104 1/8 Jobber Drill Bit	Klein 53104 1/8 Jobber-Bohrer	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_323208.jpg	11.72	7.38	[[{'id': 'NA_240000000000', 'name': 'Receptacles, Combination Devices, & Wallplates'}, {'id': 'NA_240500000000', 'name': 'Power Strips '}, {'id': 'NA_240504000000', 'name': 'Power Strips'}]]
Brady	60202	['602', '6020', '60202']	75447360202		 	Black on Yellow	Schwarz auf Gelb	2		Brady B-946 Vinyl	Brady B-946 Vinyl		 		0.245	Label	Etikett	TRUE	https://pacific.bloomreach.com/supplyglobal/products/3287323___3287323	3287323	BRADY 60202 WARNING LABELS	BRADY 60202 WARNHINWEISE	WARNING LABELS	WARNHINWEISE	Brady	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3287323.jpg	14.14	8.91	[[{'id': 'NA_270000000000', 'name': 'Wire Termination & Marking Supplies'}, {'id': 'NA_270400000000', 'name': 'Lugs & Connectors'}, {'id': 'NA_270402000000', 'name': 'Compression Sleeves'}, {'id': 'NA_270402020000', 'name': 'Parallel Splice'}]]
Brady	86860	['868', '8686', '86860']	75447386860	For Equipment/OEM, Indoor/Outdoor use	Für Geräte/OEM, Innen-/Außenbereich	Black/Red on White	Schwarz/Rot auf Weiß	3.5	3-1/2 in	Brady B-302 Polyester	Brady B-302 Polyester		 		0.05	Label	Etikett	TRUE	https://pacific.bloomreach.com/supplyglobal/products/3294182___3294182	3294182	BRADY 86860 EQUIPMENT/OEM LABELS	BRADY 86860 AUSRÜSTUNGS-/OEM-ETIKETTEN	EQUIPMENT/OEM LABELS	AUSRÜSTUNGS-/OEM-ETIKETTEN	Brady	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3294182.jpg	13.61	8.57	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120700000000', 'name': 'Motor Controls'}, {'id': 'NA_120701000000', 'name': 'Contactors & Starters'}, {'id': 'NA_120701070000', 'name': 'Starters'}, {'id': 'NA_120701070100', 'name': 'Combination Starters'}]]
Greenlee	84012	['840', '8401', '84012']	78331084012	For Use In Concrete, Block, Tile And Brick, Use With Sheet Metal, Wood And Lag Screws	Zur Verwendung in Beton, Blocksteinen, Fliesen und Ziegeln. Geeignet für Blech, Holz und Holzschrauben.		 			Plastic	Plastik	#10, #12	#10, #12		1	Conical	Konisch	TRUE	https://pacific.bloomreach.com/supplyglobal/products/3314569___3314569	3314569	GRN 84012 Anchor Kit Conical (#10X1	GRN 84012 Anker-Set konisch (#10X1	Greenlee 84012 Anchor Kit Conical (#10X1 84012)	Greenlee 84012 Anker-Set konisch (#10X1 84012)	Greenlee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3314569.jpg	6.37	4.01	[[{'id': 'NA_210000000000', 'name': 'Power Sources & Motors'}, {'id': 'NA_210400000000', 'name': 'Power Supplies'}, {'id': 'NA_210401000000', 'name': 'DC Power Supplies'}]]
Ideal Industries	30-430	['30-', '30-4', '30-43', '30-430']	78325030430	For Cutting Hardened Wire, Bolts And ACSR, Crimps Bare And Insulated Terminals	Zum Schneiden von gehärtetem Draht, Bolzen und ACSR, zum Crimpen von blanken und isolierten Klemmen		 			Drop-Forged, High-Carbon Steel	Gesenkgeschmiedeter, hochkohlenstoffhaltiger Stahl		 		1.18	High-Leverage Side-Cutting Pliers With Crimping Die	Hochleistungs-Seitenschneider mit Crimpeinsatz	TRUE	https://pacific.bloomreach.com/supplyglobal/products/3423064___3423064	3423064	IDEAL 30-430 9 IN SIDE-CUTTNG PLIER	IDEAL 30-430 9-Zoll-Seitenschneider	IDEAL 30-430 Pliers, Side Cutting w/Crimping Die 9-1/4	IDEAL 30-430 Zange, Seitenschneider mit Crimpeinsatz 9-1/4	IDEAL	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3423064.jpg	10.3	6.49	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240400000000', 'name': 'Plugs & Connectors'}, {'id': 'NA_240405000000', 'name': 'Twist Lock Devices'}, {'id': 'NA_240405020000', 'name': 'Connectors'}]]
LH Dottie	2AKHX	['2AK', '2AKH', '2AKHX']	78100259203		 		 			Nylon	Nylon	#10 x 1 IN	#10 x 1 Zoll		1	Anchor Kit	Anker-Set	TRUE	https://pacific.bloomreach.com/supplyglobal/products/3471425___3471425	3471425	DOTTIE 2AKHX #10 Anchor Kit	DOTTIE 2AKHX #10 Ankerset	LH Dottie 2AKHX #10 Hex/Phillips/Slotted Anchor Kit with #122 Yellow Wing	LH Dottie 2AKHX #10 Sechskant-/Kreuzschlitz-/Schlitzanker-Set mit #122 Yellow Wing	LH DOTTIE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3471425.jpg	10.95	6.9	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240701000000', 'name': 'Appliance Switches'}, {'id': 'NA_240701080000', 'name': 'Toggle Switches'}]]
Klein Tools	D2000-9NECR	['D20', 'D200', 'D2000', 'D2000-', 'D2000-9', 'D2000-9N', 'D2000-9NE', 'D2000-9NEC', 'D2000-9NECR']	9264470083		 		 			Tool steel	Werkzeugstahl		 		1.14	High-Leverage Side-Cutting Pliers - Connector Crimping	Hochleistungs-Seitenschneider – Crimpen von Steckverbindern	TRUE	https://pacific.bloomreach.com/supplyglobal/products/351780___351780	351780	KLEIN D2000-9NECR 9IN SIDECUT PLIER	KLEIN D2000-9NECR 9-IN-SIDECUT-ZANGE	Klein D2000-9NECR 9 High-Leverage Side-Cutting Pliers & Connector Crimping Pliers	Klein D2000-9NECR 9 Hochleistungs-Seitenschneider & Crimpzange	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_351780.jpg	11.78	7.42	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_121100000000', 'name': 'Automation Relays & Timers'}, {'id': 'NA_121102000000', 'name': 'Relays'}, {'id': 'NA_121102130000', 'name': 'Timing Relays'}]]
Klein Tools	D333-8	['D33', 'D333', 'D333-', 'D333-8']	9264471259		 		 				 		 		0.55	Conduit Tools; Special Use Long-Nose Pliers	Werkzeuge für die Leitungsverlegung; Spezialzange mit langer Spitze	TRUE	https://pacific.bloomreach.com/supplyglobal/products/353729___353729	353729	KLEIN D333-8 REAMING PLIERS	KLEIN D333-8 Reibahlen	Klein D333-8 Conduit Locknut / Reaming Pliers	Klein D333-8 Rohrverschraubungs-/Reibzange	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_353729.jpg	14.31	9.02	[[{'id': 'NA_110000000000', 'name': 'Conduit, Fittings, & Raceway'}, {'id': 'NA_110500000000', 'name': 'Strut & Strut Fittings'}, {'id': 'NA_110505000000', 'name': 'Strut Fittings & Accessories'}]]
Klein Tools	D202-6	['D20', 'D202', 'D202-', 'D202-6']	9264472010		 	Red Handle	Roter Griff				 		 		0.32	Standard Diagonal-Cutting Pliers	Standard-Seitenschneider	TRUE	https://pacific.bloomreach.com/supplyglobal/products/354168___354168	354168	KLEIN D202-6 6-IN DIAG CUT PLIERS	KLEIN D202-6 6-Zoll-Seitenschneider	Klein D202-6 6 Diagonal Cutting Pliers, Tapered Nose	Klein D202-6 6 Seitenschneider, spitz zulaufend	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_354168.jpg	13.35	8.41	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240701000000', 'name': 'Appliance Switches'}, {'id': 'NA_240701080000', 'name': 'Toggle Switches'}]]
Klein Tools	D238-8	['D23', 'D238', 'D238-', 'D238-8']	9264472050		 	Red Handle	Roter Griff				 		 		0.66	High-Leverage Diagonal-Cutting Pliers - Angled Head	Hochleistungs-Seitenschneider – abgewinkelter Kopf	TRUE	https://pacific.bloomreach.com/supplyglobal/products/354471___354471	354471	KLEIN D238-8 8-IN DIAG CUT PLIERS	KLEIN D238-8 8-Zoll-Seitenschneider	Klein D238-8 8 Diagonal-Cutting Pliers	Klein D238-8 8 Seitenschneider	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_354471.jpg	8.88	5.59	[[{'id': 'NA_270000000000', 'name': 'Wire Termination & Marking Supplies'}, {'id': 'NA_270400000000', 'name': 'Lugs & Connectors'}, {'id': 'NA_270401000000', 'name': 'Compression Lugs'}, {'id': 'NA_270401010000', 'name': 'Aluminum'}, {'id': 'NA_270401010200', 'name': '2-Hole'}]]
Klein Tools	D259-4C	['D25', 'D259', 'D259-', 'D259-4', 'D259-4C']	9264472256		 	Royal Blue	Königsblau				 		 		0.19	Diagonal-Cutting Electronics Pliers	Elektronik-Diagonalschneidzange	TRUE	https://pacific.bloomreach.com/supplyglobal/products/355412___355412	355412	KLEIN D259-4C 4-IN DIAG CUT PLIERS	KLEIN D259-4C 4-Zoll-Seitenschneider	Klein D259-4C 4 Midget Cutting Pliers, Pointed Narrow Jaw	Klein D259-4C 4 Mini-Schneidzange, spitz zulaufend, schmal	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_355412.jpg	13.07	8.23	[[{'id': 'NA_140000000000', 'name': 'Utility & Plants'}, {'id': 'NA_140500000000', 'name': 'Anchors'}, {'id': 'NA_140503000000', 'name': 'Anchor Shaft Extensions'}]]
ABB Installation Products	TY537MX	['TY5', 'TY53', 'TY537', 'TY537M', 'TY537MX']	78621080518		 	Black	Schwarz		14 in	Nylon/Polyamide 6.6	Nylon/Polyamid 6.6		 		7.2	Mounting Head	Montagekopf	TRUE	https://pacific.bloomreach.com/supplyglobal/products/361888___361888	361888	T&B TY537MX CABLE TIE 120LB 14 UV	T&B TY537MX Kabelbinder 120LB 14 UV	Thomas & Betts TY537MX 14 Inch 120 lb 1/4 Inch Mounting Hole Ultraviolet Black Cable Tie	Thomas & Betts TY537MX 14 Zoll 120 lb 1/4 Zoll Befestigungsloch Ultraviolett Schwarz Kabelbinder	Ty-Rap	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_361888	8.02	5.06	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120700000000', 'name': 'Motor Controls'}, {'id': 'NA_120701000000', 'name': 'Contactors & Starters'}, {'id': 'NA_120701020000', 'name': 'Contactors'}, {'id': 'NA_120701020300', 'name': 'IEC Contactors'}]]
ABB Installation Products	TY534M	['TY5', 'TY53', 'TY534', 'TY534M']	78621080700		 	Ivory	Elfenbein		5.94 in	Nylon/Polyamide 6.6	Nylon/Polyamid 6.6		 		0.94	Mounting Head	Montagekopf	TRUE	https://pacific.bloomreach.com/supplyglobal/products/365023___365023	365023	T&B TY534M LOCKING CABLE TIE	T&B TY534M Kabelbinder mit Verriegelung	Thomas & Betts TY534M 6 Inch 40 lb #8 Mounting Hole Natural Cable Tie	Thomas & Betts TY534M 6 Zoll 40 lb #8 Befestigungsloch Natur Kabelbinder	Ty-Rap	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_365023	8.5	5.35	[[{'id': 'NA_210000000000', 'name': 'Power Sources & Motors'}, {'id': 'NA_210400000000', 'name': 'Power Supplies'}, {'id': 'NA_210401000000', 'name': 'DC Power Supplies'}]]
ABB Installation Products	TY534MX	['TY5', 'TY53', 'TY534', 'TY534M', 'TY534MX']	78621080701		 	Black	Schwarz		4 in	Nylon/Polyamide 6.6	Nylon/Polyamid 6.6		 		1.25	Mounting Head	Montagekopf	TRUE	https://pacific.bloomreach.com/supplyglobal/products/365052___365052	365052	T&B TY534MX LOCKING CABLE TIE	T&B TY534MX Kabelbinder mit Verriegelung	Thomas & Betts TY534MX #8 Bolt Hole 6 Inch 40 lb Ultraviolet Black Mounting Hole Cable Tie	Thomas & Betts TY534MX #8 Bolzenloch 6 Zoll 40 lb Ultraviolett Schwarz Befestigungsloch Kabelbinder	Ty-Rap	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_365052	8.95	5.64	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120700000000', 'name': 'Motor Controls'}, {'id': 'NA_120701000000', 'name': 'Contactors & Starters'}, {'id': 'NA_120701020000', 'name': 'Contactors'}, {'id': 'NA_120701020300', 'name': 'IEC Contactors'}]]
Legrand-Pass & Seymour	7555-SS	['755', '7555', '7555-', '7555-S', '7555-SS']	78500775551	Industrial	Industrie	Yellow	Gelb			Nylon	Nylon	2.624 L x 1.531 H In	2,624 L x 1,531 H Zoll	125/250 V	0.171	Turnlok� Connector, Non-NEMA	Turnlok®-Steckverbinder, Nicht-NEMA	TRUE	https://pacific.bloomreach.com/supplyglobal/products/3786384___3786384	3786384	PS 7555-SS Turnlok Connector 3wire	PS 7555-SS Turnlok-Steckverbinder, 3-adrig	Pass & Seymour 7555-SS 10/15 Amp 125/250 VAC 3-Pole 3-Wire Non-NEMA Yellow Nylon Locking Connector	Pass & Seymour 7555-SS 10/15 A 125/250 V AC 3-poliger 3-adriger, nicht NEMA-konformer, gelber Nylon-Verriegelungsstecker	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3786384.jpg	13.81	8.7	[[{'id': 'NA_110000000000', 'name': 'Conduit, Fittings, & Raceway'}, {'id': 'NA_110400000000', 'name': 'Raceway '}, {'id': 'NA_110404000000', 'name': 'Surface Raceway'}, {'id': 'NA_110404020000', 'name': 'Fittings & Accessories'}]]
Hubbell Wiring Device-Kellems	515C	['515', '515C']	78358535757	Commercial Grade	Gewerbliche Qualität	Black	Schwarz				 	Standard	Standard	125 V	0.15	Select-Spec	Select-Spec	TRUE	https://pacific.bloomreach.com/supplyglobal/products/3797900___3797900	3797900	HW 515C SELECT SPEC CONNECTOR 5-1	HW 515C SELECT SPEC CONNECTOR 5-1	Hubbell 515C NEMA 5-15R Black Straight Blade Plug and Connector	Hubbell 515C NEMA 5-15R Schwarzer gerader Flachstecker und Verbinder	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3797900.jpg	12.69	8	[[{'id': 'NA_110000000000', 'name': 'Conduit, Fittings, & Raceway'}, {'id': 'NA_110200000000', 'name': 'Conduit Clamps, Hangers & Supports'}, {'id': 'NA_110208000000', 'name': 'Straps'}, {'id': 'NA_110208010000', 'name': '1-Hole Straps'}]]
ABB Installation Products	TY24MX	['TY2', 'TY24', 'TY24M', 'TY24MX']	78621082644		 	Black	Schwarz		5.5	Nylon 6.6	Nylon 6.6		 		1.3	Standard	Standard	TRUE	https://pacific.bloomreach.com/supplyglobal/products/393305___393305	393305	T&B TY24MX 5.5 Locking Cable Tie	T&B TY24MX 5.5 Kabelbinder mit Verriegelung	Thomas & Betts TY24MX Weather Resistant Nylon Cable Tie, 5.5 Length, .14 Width, Black (1000/Pkg)	Thomas & Betts TY24MX Wetterbeständiger Kabelbinder aus Nylon, 5,5 cm Länge, 0,14 cm Breite, Schwarz (1000 Stück/Packung)	Ty-Rap	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_393305	13.99	8.81	[[{'id': 'NA_240000000000', 'name': 'Receptacles, Combination Devices, & Wallplates'}, {'id': 'NA_240800000000', 'name': 'Switchplates & Wall Plates'}, {'id': 'NA_240803000000', 'name': 'Nylon/Plastic Wall Plates'}, {'id': 'NA_240803050000', 'name': 'Duplex Receptacle Plates'}]]
Brady	97084	['970', '9708', '97084']	75447397084		 	Natural	Natürlich			Steel	Stahl		 		1.2	Stake	Einsatz	TRUE	https://pacific.bloomreach.com/supplyglobal/products/3950566___3950566	3950566	BRADY 97084 BRADYSTAKE ANCHORS	BRADY 97084 BRADYSTAKE ANKER	BRADY STAKE ANCHOR KIT	BRADY-ANKERSET	Brady	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3950566.jpg	7.06	4.45	[[{'id': 'NA_240000000000', 'name': 'Receptacles, Combination Devices, & Wallplates'}, {'id': 'NA_240800000000', 'name': 'Switchplates & Wall Plates'}, {'id': 'NA_240803000000', 'name': 'Nylon/Plastic Wall Plates'}, {'id': 'NA_240803030000', 'name': 'Combination Wall Plates'}]]
Klein Tools	60223B	['602', '6022', '60223', '60223B']	9264460223	Extra strong belt clips have alligator teeth for added gripping power	Besonders robuste Gürtelclips verfügen über Alligatorzähne für zusätzliche Griffigkeit.	Blue	Blau			Polypropylene (Webbing)	Polypropylen (Gurtband)	Universal	Universal		0.57	Suspenders & Accessories	Hosenträger & Zubehör	TRUE	https://pacific.bloomreach.com/supplyglobal/products/3951073___3951073	3951073	KLEIN 60223B SUSPENDERS ELASTIC BA	KLEIN 60223B Hosenträger aus elastischem Material	Klein 60223B Suspenders, Elastic	Klein 60223B Hosenträger, elastisch	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3951073.jpg	14.23	8.97	[[{'id': 'NA_110000000000', 'name': 'Conduit, Fittings, & Raceway'}, {'id': 'NA_110200000000', 'name': 'Conduit Clamps, Hangers & Supports'}, {'id': 'NA_110207000000', 'name': 'Hangers'}]]
ABB Installation Products	TY5234M	['TY5', 'TY52', 'TY523', 'TY5234', 'TY5234M']	78621083078		 	Ivory	Elfenbein		14 in	Nylon/Polyamide 6.6	Nylon/Polyamid 6.6		 		1.25	Standard	Standard	TRUE	https://pacific.bloomreach.com/supplyglobal/products/396399___396399	396399	T&B TY5234M LOCKING CABLE TIE	T&B TY5234M Kabelbinder mit Verriegelung	Thomas & Betts TY5234M 2-Piece Distributor Pack 14 Inch 18 lb Natural Nylon Cable Tie	Thomas & Betts TY5234M 2-teilige Verteilerpackung, 14 Zoll, 18 lb, Kabelbinder aus naturfarbenem Nylon	Ty-Rap	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_396399	13.04	8.21	[[{'id': 'NA_270000000000', 'name': 'Wire Termination & Marking Supplies'}, {'id': 'NA_270600000000', 'name': 'Small Crimp & Wire Connectors'}, {'id': 'NA_270612000000', 'name': 'Wire Terminal Kits'}]]
Rockwell Automation	2090-CPWM6DF-16AA05	['209', '2090', '2090-', '2090-C', '2090-CP', '2090-CPW', '2090-CPWM', '2090-CPWM6', '2090-CPWM6D', '2090-CPWM6DF', '2090-CPWM6DF-', '2090-CPWM6DF-1', '2090-CPWM6DF-16', '2090-CPWM6DF-16A', '2090-CPWM6DF-16AA', '2090-CPWM6DF-16AA0', '2090-CPWM6DF-16AA05']	82091986865		 	Black	Schwarz		5 m		 		 	600 V	1.746	Power cable	Stromkabel	TRUE	https://pacific.bloomreach.com/supplyglobal/products/3967058___3967058	3967058	AB 2090-CPWM6DF-16AA05 Cable,	AB 2090-CPWM6DF-16AA05 Kabel,	A-B 2090-CPWM6DF-16AA05 TL-Series 5m Standard Power Cable	A-B 2090-CPWM6DF-16AA05 TL-Serie 5m Standard-Stromkabel	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3967058.jpg	14.98	9.44	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120200000000', 'name': 'Control System Connection Devices'}, {'id': 'NA_120203000000', 'name': 'Control System Connection Cables'}]]
Eaton B-Line	1/4HNZN	['1/4', '1/4H', '1/4HN', '1/4HNZ', '1/4HNZN']	78101142403	STRUT FITTINGS,HARDWARE-NUTS	Federbeinbefestigungen, Befestigungsmaterial - Muttern		 			Steel	Stahl	1/4 In	1/4 Zoll		0.007	Hex Nut	Sechskantmutter	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4000331___4000331	4000331	B-LINE 1/4HNZN HEX NUT	B-LINE 1/4HNZN Sechskantmutter	Eaton B-Line 1/4HNZN 1/4 Inch Zinc Plated Hex Nut	Eaton B-Line 1/4HNZN 1/4 Zoll verzinkte Sechskantmutter	Eaton	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4000331	10.75	6.77	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardwares'}, {'id': 'NA_160400000000', 'name': 'Fasteners'}, {'id': 'NA_160402000000', 'name': 'Nuts & Washers'}, {'id': 'NA_160402010000', 'name': 'Nuts'}, {'id': 'NA_160402010700', 'name': 'Hex Nuts'}]]
